Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) ,COU,Life Expectancy at Birth,Population
Yugoslavia,YUG,2,3,3,8,1976,Montreal,CAN,,,,
Mexico,MEX,1,0,1,2,1976,Montreal,CAN,89025974026,MEX,65.2,60702805.0
Australia,AUS,0,1,4,5,1976,Montreal,CAN,1.04921E+11,AUS,72.8,14033083.0
Hungary,HUN,4,5,13,22,1976,Montreal,CAN, $-   ,HUN,69.7,10598674.0
Czech Republic,CZE,2,2,4,8,1976,Montreal,CAN, $-   ,CZE,70.7,10128220.0
Portugal,PRT,0,2,0,2,1976,Montreal,CAN,20332831565,PRT,69.0,9355812.0
France,FRA,2,3,4,9,1976,Montreal,CAN,3.72319E+11,FRA,73.2,52908675.0
Cuba,CUB,6,4,3,13,1976,Montreal,CAN,13789579903,,,
Spain,ESP,0,2,0,2,1976,Montreal,CAN,1.18507E+11,ESP,73.7,36118035.0
Norway,NOR,1,1,0,2,1976,Montreal,CAN,35942270686,NOR,75.3,4026151.0
Switzerland,CHE,1,1,2,4,1976,Montreal,CAN, $-   ,CHE,74.9,6302505.0
Venezuela,VEN,0,1,0,1,1980,Moscow,RUS,59116511628,,,
Jamaica,JAM,0,0,3,3,1980,Moscow,RUS,2679409453,,,
Bulgaria,BGR,8,16,17,41,1980,Moscow,RUS,19839230769,,,8861535.0
Russia,RUS,80,69,46,195,1980,Moscow,RUS, $-   ,RUS,67.2,138058710.0
India,IND,1,0,0,1,1980,Moscow,RUS,1.86325E+11,IND,53.8,696783517.0
Brazil,BRA,2,0,2,4,1980,Moscow,RUS,2.35025E+11,BRA,62.7,122081510.0
Italy,ITA,8,3,4,15,1980,Moscow,RUS,4.77257E+11,ITA,74.0,56433876.0
Spain,ESP,1,3,2,6,1980,Moscow,RUS,2.32767E+11,ESP,75.4,37526911.0
Netherlands,NLD,0,1,2,3,1980,Moscow,RUS,1.95152E+11,NLD,75.9,14149799.0
Uganda,UGA,0,1,0,1,1980,Moscow,RUS,1244610000,,,
Belgium,BEL,1,0,0,1,1980,Moscow,RUS,1.26829E+11,BEL,73.3,9859243.0
Cuba,CUB,8,7,5,20,1980,Moscow,RUS,19912889861,,,
Switzerland,CHE,2,0,0,2,1980,Moscow,RUS,1.22661E+11,CHE,75.7,6319409.0
Poland,POL,3,14,15,32,1980,Moscow,RUS, $-   ,POL,70.2,35578019.0
Sweden,SWE,3,3,6,12,1980,Moscow,RUS,1.42092E+11,SWE,75.9,8310477.0
Romania,ROU,6,6,13,25,1980,Moscow,RUS, $-   ,,,22207284.0
Ireland,IRL,0,1,1,2,1980,Moscow,RUS,21751265577,IRL,72.9,3401000.0
Zimbabwe,ZWE,1,0,0,1,1980,Moscow,RUS,6678868200,,,
England,GBR,5,7,9,21,1980,Moscow,RUS,5.64948E+11,,,
Tanzania,TZA,0,2,0,2,1980,Moscow,RUS, $-   ,,,
France,FRA,6,5,3,14,1980,Moscow,RUS,7.01288E+11,FRA,74.3,53880012.0
Mexico,MEX,0,1,3,4,1980,Moscow,RUS,2.05139E+11,MEX,67.2,67561216.0
Hungary,HUN,7,10,15,32,1980,Moscow,RUS, $-   ,HUN,69.2,10711126.0
Germany,DEU,47,37,42,126,1980,Moscow,RUS,9.50291E+11,DEU,72.9,78288576.0
Ethiopia,ETH,2,0,2,4,1980,Moscow,RUS, $-   ,,,
Czech Republic,CZE,2,3,9,14,1980,Moscow,RUS, $-   ,CZE,70.5,10326792.0
Finland,FIN,3,1,4,8,1980,Moscow,RUS,53645202423,FIN,73.6,4779537.0
North Korea,PRK,0,3,2,5,1980,Moscow,RUS, $-   ,,,
Greece,GRC,1,0,2,3,1980,Moscow,RUS,56829664269,GRC,75.3,9642505.0
Yugoslavia,YUG,2,3,4,9,1980,Moscow,RUS,,,,
Denmark,DNK,2,1,2,5,1980,Moscow,RUS,71127528700,DNK,74.3,5123027.0
Mongolia,MNG,0,2,2,4,1980,Moscow,RUS, $-   ,,,
Guyana,GUY,0,0,1,1,1980,Moscow,RUS,603200000,,,
Austria,AUT,1,2,1,4,1980,Moscow,RUS,82058912997,AUT,72.6,7549433.0
Australia,AUS,2,2,5,9,1980,Moscow,RUS,1.49776E+11,AUS,74.6,14695356.0
Lebanon,LBN,0,0,1,1,1980,Moscow,RUS, $-   ,,,
Kenya,KEN,1,0,2,3,1984,Los Angeles,USA,6191437070,,,
Morocco,MAR,2,0,0,2,1984,Los Angeles,USA,14824728528,,,
Dominican Republic,DOM,0,0,1,1,1984,Los Angeles,USA,11594000000,,,
Turkey,TUR,0,0,3,3,1984,Los Angeles,USA,59989909458,TUR,60.9,49070000.0
Syria,SYR,0,1,0,1,1984,Los Angeles,USA,17503082982,,,
Colombia,COL,0,1,0,1,1984,Los Angeles,USA,38253120738,COL,66.0,30350086.0
China,CHN,15,8,9,32,1984,Los Angeles,USA,2.59947E+11,,,
Yugoslavia,YUG,7,4,7,18,1984,Los Angeles,USA,,,,
Puerto Rico,PRI,0,1,1,2,1984,Los Angeles,USA,19162600000,,,
Romania,ROU,20,16,17,53,1984,Los Angeles,USA, $-   ,,,22640545.0
Netherlands,NLD,5,2,6,13,1984,Los Angeles,USA,1.43913E+11,NLD,76.4,14424211.0
Chinese Taipei,TPE,0,0,1,1,1984,Los Angeles,USA,,,,
Japan,JPN,10,8,14,32,1984,Los Angeles,USA,1.31838E+12,JPN,77.4,120305000.0
Switzerland,CHE,0,4,4,8,1984,Los Angeles,USA,1.09547E+11,CHE,76.9,6441865.0
Egypt,EGY,0,1,0,1,1984,Los Angeles,USA,33971188992,,,
South Korea,KOR,6,6,7,19,1984,Los Angeles,USA,97510235986,,,
Venezuela,VEN,0,0,3,3,1984,Los Angeles,USA,60010285714,,,
Nigeria,NGA,0,1,1,2,1984,Los Angeles,USA,73484359521,,,
Denmark,DNK,0,3,3,6,1984,Los Angeles,USA,59105236854,DNK,74.8,5111619.0
Austria,AUT,1,1,1,3,1984,Los Angeles,USA,67985344887,AUT,73.7,7561434.0
Spain,ESP,1,2,2,5,1984,Los Angeles,USA,1.72103E+11,ESP,76.4,38325244.0
Portugal,PRT,1,0,2,3,1984,Los Angeles,USA,25217969050,PRT,72.7,9996232.0
Greece,GRC,0,1,1,2,1984,Los Angeles,USA,48020024184,GRC,76.2,9895801.0
New Zealand,NZL,8,1,2,11,1984,Los Angeles,USA,21665975319,NZL,73.8,3278850.0
Brazil,BRA,1,5,2,8,1984,Los Angeles,USA,2.09024E+11,BRA,64.1,133238189.0
Iceland,ISL,0,0,1,1,1984,Los Angeles,USA,2864441356,ISL,77.7,239506.0
Zambia,ZMB,0,0,1,1,1984,Los Angeles,USA,2739444444,,,
Canada,CAN,10,18,16,44,1984,Los Angeles,USA,3.55373E+11,CAN,76.2,25607053.0
Sweden,SWE,2,11,6,19,1984,Los Angeles,USA,1.09201E+11,SWE,77.0,8336595.0
