Event,NOC,Pos.,Year,Discipline,Gender Cleaned,Event Cleaned
"Canadian Singles, 1,000 metres, Men",GER,1,1964,Canoe Sprint,Men,"Canadian Singles, 1,000 metres"
"Canadian Singles, 1,000 metres, Men",ROU,2,1964,Canoe Sprint,Men,"Canadian Singles, 1,000 metres"
"Canadian Singles, 1,000 metres, Men",URS,3,1964,Canoe Sprint,Men,"Canadian Singles, 1,000 metres"
"Kayak Doubles, 1,000 metres, Men",SWE,1,1964,Canoe Sprint,Men,"Kayak Doubles, 1,000 metres"
"Kayak Doubles, 1,000 metres, Men",NED,2,1964,Canoe Sprint,Men,"Kayak Doubles, 1,000 metres"
"Kayak Doubles, 1,000 metres, Men",GER,3,1964,Canoe Sprint,Men,"Kayak Doubles, 1,000 metres"
"Kayak Doubles, 500 metres, Women",GER,1,1964,Canoe Sprint,Women,"Kayak Doubles, 500 metres"
"Kayak Doubles, 500 metres, Women",USA,2,1964,Canoe Sprint,Women,"Kayak Doubles, 500 metres"
"Kayak Doubles, 500 metres, Women",ROU,3,1964,Canoe Sprint,Women,"Kayak Doubles, 500 metres"
"Kayak Fours, 1,000 metres, Men",URS,1,1964,Canoe Sprint,Men,"Kayak Fours, 1,000 metres"
"Kayak Fours, 1,000 metres, Men",GER,2,1964,Canoe Sprint,Men,"Kayak Fours, 1,000 metres"
"Kayak Fours, 1,000 metres, Men",ROU,3,1964,Canoe Sprint,Men,"Kayak Fours, 1,000 metres"
"Kayak Singles, 1,000 metres, Men",SWE,1,1964,Canoe Sprint,Men,"Kayak Singles, 1,000 metres"
"Kayak Singles, 1,000 metres, Men",HUN,2,1964,Canoe Sprint,Men,"Kayak Singles, 1,000 metres"
"Kayak Singles, 1,000 metres, Men",ROU,3,1964,Canoe Sprint,Men,"Kayak Singles, 1,000 metres"
"Kayak Singles, 500 metres, Women",URS,1,1964,Canoe Sprint,Women,"Kayak Singles, 500 metres"
"Kayak Singles, 500 metres, Women",ROU,2,1964,Canoe Sprint,Women,"Kayak Singles, 500 metres"
"Kayak Singles, 500 metres, Women",USA,3,1964,Canoe Sprint,Women,"Kayak Singles, 500 metres"
"100 kilometres Team Time Trial, Men",NED,1,1964,Cycling Road,Men,100 kilometres Team Time Trial
"100 kilometres Team Time Trial, Men",ITA,2,1964,Cycling Road,Men,100 kilometres Team Time Trial
"100 kilometres Team Time Trial, Men",SWE,3,1964,Cycling Road,Men,100 kilometres Team Time Trial
"Road Race, Individual, Men",ITA,1,1964,Cycling Road,Men,"Road Race, Individual"
"Road Race, Individual, Men",DEN,2,1964,Cycling Road,Men,"Road Race, Individual"
"Road Race, Individual, Men",BEL,3,1964,Cycling Road,Men,"Road Race, Individual"
"1,000 metres Time Trial, Men",BEL,1,1964,Cycling Track,Men,"1,000 metres Time Trial"
"1,000 metres Time Trial, Men",ITA,2,1964,Cycling Track,Men,"1,000 metres Time Trial"
"1,000 metres Time Trial, Men",FRA,3,1964,Cycling Track,Men,"1,000 metres Time Trial"
"Individual Pursuit, 4,000 metres, Men",TCH,1,1964,Cycling Track,Men,"Individual Pursuit, 4,000 metres"
"Individual Pursuit, 4,000 metres, Men",ITA,2,1964,Cycling Track,Men,"Individual Pursuit, 4,000 metres"
"Individual Pursuit, 4,000 metres, Men",DEN,3,1964,Cycling Track,Men,"Individual Pursuit, 4,000 metres"
