Event,NOC,Pos.,Year,Discipline
"Lightweight, Men",POL,3,1964,Weightlifting
"Middle-Heavyweight, Men",URS,1,1964,Weightlifting
"Middle-Heavyweight, Men",GBR,2,1964,Weightlifting
"Middle-Heavyweight, Men",POL,3,1964,Weightlifting
"Middleweight, Men",TCH,1,1964,Weightlifting
"Middleweight, Men",URS,2,1964,Weightlifting
"Middleweight, Men",JPN,3,1964,Weightlifting
"Bantamweight, Freestyle, Men",JPN,1,1964,Wrestling
"Bantamweight, Freestyle, Men",TUR,2,1964,Wrestling
"Bantamweight, Freestyle, Men",URS,3,1964,Wrestling
"Bantamweight, Greco-Roman, Men",JPN,1,1964,Wrestling
"Bantamweight, Greco-Roman, Men",URS,2,1964,Wrestling
"Bantamweight, Greco-Roman, Men",ROU,3,1964,Wrestling
"Featherweight, Freestyle, Men",JPN,1,1964,Wrestling
"Featherweight, Freestyle, Men",BUL,2,1964,Wrestling
"Featherweight, Freestyle, Men",URS,3,1964,Wrestling
"Featherweight, Greco-Roman, Men",HUN,1,1964,Wrestling
"Featherweight, Greco-Roman, Men",URS,2,1964,Wrestling
"Featherweight, Greco-Roman, Men",YUG,3,1964,Wrestling
"Flyweight, Freestyle, Men",JPN,1,1964,Wrestling
"Flyweight, Freestyle, Men",KOR,2,1964,Wrestling
"Flyweight, Freestyle, Men",IRI,3,1964,Wrestling
"Flyweight, Greco-Roman, Men",JPN,1,1964,Wrestling
"Flyweight, Greco-Roman, Men",BUL,2,1964,Wrestling
"Flyweight, Greco-Roman, Men",ROU,3,1964,Wrestling
"Heavyweight, Freestyle, Men",URS,1,1964,Wrestling
"Heavyweight, Freestyle, Men",BUL,2,1964,Wrestling
"Heavyweight, Freestyle, Men",TUR,3,1964,Wrestling
"Heavyweight, Greco-Roman, Men",HUN,1,1964,Wrestling
"Heavyweight, Greco-Roman, Men",URS,2,1964,Wrestling
"Heavyweight, Greco-Roman, Men",GER,3,1964,Wrestling
"Light-Heavyweight, Freestyle, Men",URS,1,1964,Wrestling
"Light-Heavyweight, Freestyle, Men",TUR,2,1964,Wrestling
"Light-Heavyweight, Freestyle, Men",BUL,3,1964,Wrestling
"Light-Heavyweight, Greco-Roman, Men",BUL,1,1964,Wrestling
"Light-Heavyweight, Greco-Roman, Men",SWE,2,1964,Wrestling
"Light-Heavyweight, Greco-Roman, Men",GER,3,1964,Wrestling
