Event,NOC,Pos.,Year,Discipline
"Volleyball, Men",BRA,2,2008,Volleyball
"Volleyball, Men",RUS,3,2008,Volleyball
"Volleyball, Women",BRA,1,2008,Volleyball
"Volleyball, Women",USA,2,2008,Volleyball
"Volleyball, Women",CHN,3,2008,Volleyball
"Water Polo, Men",HUN,1,2008,Water Polo
"Water Polo, Men",USA,2,2008,Water Polo
"Water Polo, Men",SRB,3,2008,Water Polo
"Water Polo, Women",NED,1,2008,Water Polo
"Water Polo, Women",USA,2,2008,Water Polo
"Water Polo, Women",AUS,3,2008,Water Polo
"Bantamweight, Men",CHN,1,2008,Weightlifting
"Bantamweight, Men",VIE,2,2008,Weightlifting
"Bantamweight, Men",INA,3,2008,Weightlifting
"Featherweight, Men",CHN,1,2008,Weightlifting
"Featherweight, Men",COL,2,2008,Weightlifting
"Featherweight, Men",INA,3,2008,Weightlifting
"Featherweight, Women",THA,1,2008,Weightlifting
"Featherweight, Women",KOR,2,2008,Weightlifting
"Featherweight, Women",INA,3,2008,Weightlifting
"Flyweight, Women",TPE,1,2008,Weightlifting
"Flyweight, Women",KOR,2,2008,Weightlifting
"Flyweight, Women",THA,3,2008,Weightlifting
"Heavyweight, Men",BLR,1,2008,Weightlifting
"Heavyweight, Men",RUS,2,2008,Weightlifting
"Heavyweight, Men",POL,3,2008,Weightlifting
"Heavyweight, Women",KAZ,1,2008,Weightlifting
"Heavyweight, Women",ESP,2,2008,Weightlifting
"Heavyweight, Women",MEX,3,2008,Weightlifting
"Light-Heavyweight, Men",CHN,1,2008,Weightlifting
"Light-Heavyweight, Men",ARM,2,2008,Weightlifting
"Light-Heavyweight, Men",CUB,3,2008,Weightlifting
"Light-Heavyweight, Women",RUS,1,2008,Weightlifting
"Light-Heavyweight, Women",COL,2,2008,Weightlifting
"Light-Heavyweight, Women",EGY,3,2008,Weightlifting
"Lightweight, Men",CHN,1,2008,Weightlifting
"Lightweight, Men",FRA,2,2008,Weightlifting
"Lightweight, Men",CUB,3,2008,Weightlifting
"Lightweight, Women",CHN,1,2008,Weightlifting
"Lightweight, Women",PRK,2,2008,Weightlifting
"Lightweight, Women",THA,3,2008,Weightlifting
"Middle-Heavyweight, Men",POL,1,2008,Weightlifting
"Middle-Heavyweight, Men",GEO,2,2008,Weightlifting
"Middle-Heavyweight, Men",CUB,3,2008,Weightlifting
"Middleweight, Men",KOR,1,2008,Weightlifting
"Middleweight, Men",CHN,2,2008,Weightlifting
"Middleweight, Men",ARM,3,2008,Weightlifting
"Middleweight, Women",PRK,1,2008,Weightlifting
"Middleweight, Women",TPE,2,2008,Weightlifting
"Middleweight, Women",CAN,3,2008,Weightlifting
"Super-Heavyweight, Men",GER,1,2008,Weightlifting
"Super-Heavyweight, Men",RUS,2,2008,Weightlifting
"Super-Heavyweight, Men",LAT,3,2008,Weightlifting
"Super-Heavyweight, Women",KOR,1,2008,Weightlifting
"Super-Heavyweight, Women",SAM,2,2008,Weightlifting
"Super-Heavyweight, Women",NGR,3,2008,Weightlifting
"Featherweight, Freestyle, Men",USA,1,2008,Wrestling
"Featherweight, Freestyle, Men",JPN,2,2008,Wrestling
"Featherweight, Freestyle, Men",BUL,3,2008,Wrestling
"Featherweight, Freestyle, Men",RUS,3,2008,Wrestling
"Featherweight, Greco-Roman, Men",RUS,1,2008,Wrestling
"Featherweight, Greco-Roman, Men",AZE,2,2008,Wrestling
"Featherweight, Greco-Roman, Men",ARM,3,2008,Wrestling
"Featherweight, Greco-Roman, Men",KOR,3,2008,Wrestling
"Flyweight, Freestyle, Women",CAN,1,2008,Wrestling
"Flyweight, Freestyle, Women",JPN,2,2008,Wrestling
"Flyweight, Freestyle, Women",AZE,3,2008,Wrestling
"Flyweight, Freestyle, Women",UKR,3,2008,Wrestling
"Heavyweight, Freestyle, Men",RUS,1,2008,Wrestling
"Heavyweight, Freestyle, Men",GEO,2,2008,Wrestling
"Heavyweight, Freestyle, Men",AZE,3,2008,Wrestling
"Heavyweight, Freestyle, Men",CUB,3,2008,Wrestling
"Heavyweight, Freestyle, Women",CHN,1,2008,Wrestling
"Heavyweight, Freestyle, Women",BUL,2,2008,Wrestling
"Heavyweight, Freestyle, Women",JPN,3,2008,Wrestling
"Heavyweight, Freestyle, Women",POL,3,2008,Wrestling
"Heavyweight, Greco-Roman, Men",RUS,1,2008,Wrestling
"Heavyweight, Greco-Roman, Men",GER,2,2008,Wrestling
"Heavyweight, Greco-Roman, Men",USA,3,2008,Wrestling
"Heavyweight, Greco-Roman, Men",CZE,3,2008,Wrestling
"Light-Heavyweight, Freestyle, Men",GEO,1,2008,Wrestling
"Light-Heavyweight, Freestyle, Men",TJK,2,2008,Wrestling
"Light-Heavyweight, Freestyle, Men",UKR,3,2008,Wrestling
"Light-Heavyweight, Freestyle, Men",RUS,3,2008,Wrestling
"Light-Heavyweight, Greco-Roman, Men",ITA,1,2008,Wrestling
"Light-Heavyweight, Greco-Roman, Men",HUN,2,2008,Wrestling
"Light-Heavyweight, Greco-Roman, Men",TUR,3,2008,Wrestling
"Lightweight, Freestyle, Men",RUS,1,2008,Wrestling
"Lightweight, Freestyle, Men",JPN,2,2008,Wrestling
"Lightweight, Freestyle, Men",IRI,3,2008,Wrestling
"Lightweight, Freestyle, Men",KGZ,3,2008,Wrestling
"Lightweight, Freestyle, Women",JPN,1,2008,Wrestling
"Lightweight, Freestyle, Women",CHN,2,2008,Wrestling
"Lightweight, Freestyle, Women",CAN,3,2008,Wrestling
"Lightweight, Freestyle, Women",COL,3,2008,Wrestling
"Lightweight, Greco-Roman, Men",RUS,1,2008,Wrestling
"Lightweight, Greco-Roman, Men",KAZ,2,2008,Wrestling
"Lightweight, Greco-Roman, Men",KGZ,3,2008,Wrestling
"Lightweight, Greco-Roman, Men",CHN,3,2008,Wrestling
"Middleweight, Freestyle, Men",RUS,1,2008,Wrestling
"Middleweight, Freestyle, Men",BLR,2,2008,Wrestling
"Middleweight, Freestyle, Men",BUL,3,2008,Wrestling
"Middleweight, Freestyle, Men",ROU,3,2008,Wrestling
"Middleweight, Freestyle, Women",JPN,1,2008,Wrestling
"Middleweight, Freestyle, Women",RUS,2,2008,Wrestling
"Middleweight, Freestyle, Women",KAZ,3,2008,Wrestling
"Middleweight, Freestyle, Women",USA,3,2008,Wrestling
"Middleweight, Greco-Roman, Men",GEO,1,2008,Wrestling
"Middleweight, Greco-Roman, Men",CHN,2,2008,Wrestling
"Middleweight, Greco-Roman, Men",BUL,3,2008,Wrestling
"Middleweight, Greco-Roman, Men",FRA,3,2008,Wrestling
"Super-Heavyweight, Freestyle, Men",RUS,1,2008,Wrestling
"Super-Heavyweight, Freestyle, Men",SVK,2,2008,Wrestling
"Super-Heavyweight, Freestyle, Men",KAZ,3,2008,Wrestling
"Super-Heavyweight, Freestyle, Men",CUB,3,2008,Wrestling
"Super-Heavyweight, Greco-Roman, Men",CUB,1,2008,Wrestling
"Super-Heavyweight, Greco-Roman, Men",LTU,2,2008,Wrestling
"Super-Heavyweight, Greco-Roman, Men",ARM,3,2008,Wrestling
"Super-Heavyweight, Greco-Roman, Men",FRA,3,2008,Wrestling
"Welterweight, Freestyle, Men",TUR,1,2008,Wrestling
"Welterweight, Freestyle, Men",UKR,2,2008,Wrestling
"Welterweight, Freestyle, Men",GEO,3,2008,Wrestling
"Welterweight, Freestyle, Men",IND,3,2008,Wrestling
"Welterweight, Greco-Roman, Men",FRA,1,2008,Wrestling
"Welterweight, Greco-Roman, Men",KGZ,2,2008,Wrestling
"Welterweight, Greco-Roman, Men",UKR,3,2008,Wrestling
"Welterweight, Greco-Roman, Men",BLR,3,2008,Wrestling
"Individual, Men",KOR,1,2012,Archery
"Individual, Men",JPN,2,2012,Archery
"Individual, Men",CHN,3,2012,Archery
"Individual, Women",KOR,1,2012,Archery
"Individual, Women",MEX,2,2012,Archery
"Individual, Women",MEX,3,2012,Archery
"Team, Men",ITA,1,2012,Archery
"Team, Men",USA,2,2012,Archery
"Team, Men",KOR,3,2012,Archery
"Team, Women",KOR,1,2012,Archery
"Team, Women",CHN,2,2012,Archery
"Team, Women",JPN,3,2012,Archery
"Balance Beam, Women",CHN,1,2012,Artistic Gymnastics
"Balance Beam, Women",CHN,2,2012,Artistic Gymnastics
"Balance Beam, Women",USA,3,2012,Artistic Gymnastics
"Floor Exercise, Men",CHN,1,2012,Artistic Gymnastics
"Floor Exercise, Men",JPN,2,2012,Artistic Gymnastics
"Floor Exercise, Men",RUS,3,2012,Artistic Gymnastics
"Floor Exercise, Women",USA,1,2012,Artistic Gymnastics
"Floor Exercise, Women",ROU,2,2012,Artistic Gymnastics
"Floor Exercise, Women",RUS,3,2012,Artistic Gymnastics
"Horizontal Bar, Men",NED,1,2012,Artistic Gymnastics
"Horizontal Bar, Men",GER,2,2012,Artistic Gymnastics
"Horizontal Bar, Men",CHN,3,2012,Artistic Gymnastics
"Horse Vault, Men",KOR,1,2012,Artistic Gymnastics
"Horse Vault, Men",RUS,2,2012,Artistic Gymnastics
"Horse Vault, Men",UKR,3,2012,Artistic Gymnastics
"Horse Vault, Women",ROU,1,2012,Artistic Gymnastics
"Horse Vault, Women",USA,2,2012,Artistic Gymnastics
"Horse Vault, Women",RUS,3,2012,Artistic Gymnastics
"Individual All-Around, Men",JPN,1,2012,Artistic Gymnastics
"Individual All-Around, Men",GER,2,2012,Artistic Gymnastics
"Individual All-Around, Men",USA,3,2012,Artistic Gymnastics
"Individual All-Around, Women",USA,1,2012,Artistic Gymnastics
"Individual All-Around, Women",RUS,2,2012,Artistic Gymnastics
"Individual All-Around, Women",RUS,3,2012,Artistic Gymnastics
"Parallel Bars, Men",CHN,1,2012,Artistic Gymnastics
"Parallel Bars, Men",GER,2,2012,Artistic Gymnastics
"Parallel Bars, Men",FRA,3,2012,Artistic Gymnastics
"Pommelled Horse, Men",HUN,1,2012,Artistic Gymnastics
"Pommelled Horse, Men",GBR,2,2012,Artistic Gymnastics
"Pommelled Horse, Men",GBR,3,2012,Artistic Gymnastics
"Rings, Men",BRA,1,2012,Artistic Gymnastics
"Rings, Men",CHN,2,2012,Artistic Gymnastics
"Rings, Men",ITA,3,2012,Artistic Gymnastics
"Team All-Around, Men",CHN,1,2012,Artistic Gymnastics
"Team All-Around, Men",JPN,2,2012,Artistic Gymnastics
"Team All-Around, Men",GBR,3,2012,Artistic Gymnastics
"Team All-Around, Women",USA,1,2012,Artistic Gymnastics
"Team All-Around, Women",RUS,2,2012,Artistic Gymnastics
"Team All-Around, Women",ROU,3,2012,Artistic Gymnastics
"Uneven Bars, Women",RUS,1,2012,Artistic Gymnastics
"Uneven Bars, Women",CHN,2,2012,Artistic Gymnastics
"Uneven Bars, Women",GBR,3,2012,Artistic Gymnastics
"Duet, Women",RUS,1,2012,Artistic Swimming
"Duet, Women",ESP,2,2012,Artistic Swimming
"Duet, Women",CHN,3,2012,Artistic Swimming
"Team, Women",RUS,1,2012,Artistic Swimming
"Team, Women",CHN,2,2012,Artistic Swimming
"Team, Women",ESP,3,2012,Artistic Swimming
"1,500 metres, Men",ALG,1,2012,Athletics
"1,500 metres, Men",USA,2,2012,Athletics
"1,500 metres, Men",MAR,3,2012,Athletics
"1,500 metres, Women",BRN,1,2012,Athletics
"1,500 metres, Women",RUS,2,2012,Athletics
"1,500 metres, Women",ETH,3,2012,Athletics
"10,000 metres, Men",GBR,1,2012,Athletics
"10,000 metres, Men",USA,2,2012,Athletics
"10,000 metres, Men",ETH,3,2012,Athletics
"10,000 metres, Women",ETH,1,2012,Athletics
"10,000 metres, Women",KEN,2,2012,Athletics
"10,000 metres, Women",KEN,3,2012,Athletics
"100 metres Hurdles, Women",AUS,1,2012,Athletics
"100 metres Hurdles, Women",USA,2,2012,Athletics
"100 metres Hurdles, Women",USA,3,2012,Athletics
"100 metres, Men",JAM,1,2012,Athletics
"100 metres, Men",JAM,2,2012,Athletics
"100 metres, Men",USA,3,2012,Athletics
"100 metres, Women",JAM,1,2012,Athletics
"100 metres, Women",USA,2,2012,Athletics
"100 metres, Women",JAM,3,2012,Athletics
"110 metres Hurdles, Men",USA,1,2012,Athletics
"110 metres Hurdles, Men",USA,2,2012,Athletics
"110 metres Hurdles, Men",JAM,3,2012,Athletics
"20 kilometres Walk, Men",CHN,1,2012,Athletics
"20 kilometres Walk, Men",GUA,2,2012,Athletics
"20 kilometres Walk, Men",CHN,3,2012,Athletics
"20 kilometres Walk, Women",RUS,1,2012,Athletics
"20 kilometres Walk, Women",CHN,2,2012,Athletics
"20 kilometres Walk, Women",CHN,3,2012,Athletics
"200 metres, Men",JAM,1,2012,Athletics
"200 metres, Men",JAM,2,2012,Athletics
"200 metres, Men",JAM,3,2012,Athletics
"200 metres, Women",USA,1,2012,Athletics
"200 metres, Women",JAM,2,2012,Athletics
"200 metres, Women",USA,3,2012,Athletics
"3,000 metres Steeplechase, Men",KEN,1,2012,Athletics
"3,000 metres Steeplechase, Men",FRA,2,2012,Athletics
"3,000 metres Steeplechase, Men",KEN,3,2012,Athletics
"3,000 metres Steeplechase, Women",TUN,1,2012,Athletics
"3,000 metres Steeplechase, Women",ETH,2,2012,Athletics
"3,000 metres Steeplechase, Women",KEN,3,2012,Athletics
"4 x 200 metres Freestyle Relay, Men",USA,1,2016,Swimming
"4 x 200 metres Freestyle Relay, Men",GBR,2,2016,Swimming
"4 x 200 metres Freestyle Relay, Men",JPN,3,2016,Swimming
"4 x 200 metres Freestyle Relay, Women",USA,1,1996,Swimming
"4 x 200 metres Freestyle Relay, Women",GER,2,1996,Swimming
"4 x 200 metres Freestyle Relay, Women",AUS,3,1996,Swimming
"4 x 200 metres Freestyle Relay, Women",USA,1,2004,Swimming
"4 x 200 metres Freestyle Relay, Women",CHN,2,2004,Swimming
"4 x 200 metres Freestyle Relay, Women",GER,3,2004,Swimming
"4 x 200 metres Freestyle Relay, Women",AUS,1,2008,Swimming
"4 x 200 metres Freestyle Relay, Women",CHN,2,2008,Swimming
"4 x 200 metres Freestyle Relay, Women",USA,3,2008,Swimming
"400 metres Hurdles, Men",DOM,1,2012,Athletics
"400 metres Hurdles, Men",USA,2,2012,Athletics
"400 metres Hurdles, Men",PUR,3,2012,Athletics
"400 metres Hurdles, Women",RUS,1,2012,Athletics
"400 metres Hurdles, Women",USA,2,2012,Athletics
"400 metres Hurdles, Women",CZE,3,2012,Athletics
"400 metres, Men",GRN,1,2012,Athletics
"400 metres, Men",DOM,2,2012,Athletics
"400 metres, Men",TTO,3,2012,Athletics
"400 metres, Women",USA,1,2012,Athletics
"400 metres, Women",GBR,2,2012,Athletics
"400 metres, Women",USA,3,2012,Athletics
"5,000 metres, Men",GBR,1,2012,Athletics
"5,000 metres, Men",ETH,2,2012,Athletics
"5,000 metres, Men",KEN,3,2012,Athletics
"5,000 metres, Women",ETH,1,2012,Athletics
"5,000 metres, Women",KEN,2,2012,Athletics
"5,000 metres, Women",ETH,3,2012,Athletics
"50 kilometres Walk, Men",AUS,1,2012,Athletics
"50 kilometres Walk, Men",CHN,2,2012,Athletics
"50 kilometres Walk, Men",IRL,3,2012,Athletics
"800 metres, Men",KEN,1,2012,Athletics
"800 metres, Men",BOT,2,2012,Athletics
"800 metres, Men",KEN,3,2012,Athletics
"800 metres, Women",RSA,1,2012,Athletics
"800 metres, Women",RUS,2,2012,Athletics
"800 metres, Women",KEN,3,2012,Athletics
"Decathlon, Men",USA,1,2012,Athletics
"Decathlon, Men",USA,2,2012,Athletics
"Decathlon, Men",CUB,3,2012,Athletics
"Discus Throw, Men",GER,1,2012,Athletics
"Discus Throw, Men",IRI,2,2012,Athletics
"Discus Throw, Men",EST,3,2012,Athletics
"Discus Throw, Women",CRO,1,2012,Athletics
"Discus Throw, Women",CHN,2,2012,Athletics
"Discus Throw, Women",CUB,3,2012,Athletics
"Hammer Throw, Men",HUN,1,2012,Athletics
"Hammer Throw, Men",SLO,2,2012,Athletics
"Hammer Throw, Men",JPN,3,2012,Athletics
"Hammer Throw, Women",POL,1,2012,Athletics
"Hammer Throw, Women",GER,2,2012,Athletics
"Hammer Throw, Women",CHN,3,2012,Athletics
"Heptathlon, Women",GBR,1,2012,Athletics
"Heptathlon, Women",GER,2,2012,Athletics
"Heptathlon, Women",LTU,3,2012,Athletics
"High Jump, Men",USA,2,2012,Athletics
"High Jump, Men",0,1,2012,Athletics
"High Jump, Men",QAT,3,2012,Athletics
"High Jump, Men",CAN,3,2012,Athletics
"High Jump, Men",GBR,3,2012,Athletics
"High Jump, Women",RUS,1,2012,Athletics
"High Jump, Women",USA,2,2012,Athletics
"High Jump, Women",0,3,2012,Athletics
"Javelin Throw, Men",TTO,1,2012,Athletics
"Javelin Throw, Men",FIN,2,2012,Athletics
"Javelin Throw, Men",CZE,3,2012,Athletics
"Javelin Throw, Women",CZE,1,2012,Athletics
"Javelin Throw, Women",GER,2,2012,Athletics
"Javelin Throw, Women",GER,3,2012,Athletics
"Long Jump, Men",GBR,1,2012,Athletics
"Long Jump, Men",AUS,2,2012,Athletics
"Long Jump, Men",USA,3,2012,Athletics
"Long Jump, Women",USA,1,2012,Athletics
"Long Jump, Women",RUS,2,2012,Athletics
"Long Jump, Women",USA,3,2012,Athletics
"Marathon, Men",UGA,1,2012,Athletics
"Marathon, Men",KEN,2,2012,Athletics
"Marathon, Men",KEN,3,2012,Athletics
"Marathon, Women",ETH,1,2012,Athletics
"Marathon, Women",KEN,2,2012,Athletics
"Marathon, Women",RUS,3,2012,Athletics
"Pole Vault, Men",FRA,1,2012,Athletics
"Pole Vault, Men",GER,2,2012,Athletics
"Pole Vault, Men",GER,3,2012,Athletics
"Pole Vault, Women",USA,1,2012,Athletics
"Pole Vault, Women",CUB,2,2012,Athletics
"Pole Vault, Women",RUS,3,2012,Athletics
"Shot Put, Men",POL,1,2012,Athletics
"Shot Put, Men",GER,2,2012,Athletics
"Shot Put, Men",USA,3,2012,Athletics
"Shot Put, Women",NZL,1,2012,Athletics
"Shot Put, Women",CHN,2,2012,Athletics
"Shot Put, Women",CHN,3,2012,Athletics
"Triple Jump, Men",USA,1,2012,Athletics
"Triple Jump, Men",USA,2,2012,Athletics
"Triple Jump, Men",ITA,3,2012,Athletics
"Triple Jump, Women",KAZ,1,2012,Athletics
"Triple Jump, Women",COL,2,2012,Athletics
"Triple Jump, Women",UKR,3,2012,Athletics
"Doubles, Men",CHN,1,2012,Badminton
"Doubles, Men",DEN,2,2012,Badminton
"Doubles, Men",KOR,3,2012,Badminton
"Doubles, Mixed",CHN,1,2012,Badminton
"Doubles, Mixed",CHN,2,2012,Badminton
"Doubles, Mixed",DEN,3,2012,Badminton
"Doubles, Women",CHN,1,2012,Badminton
"Doubles, Women",JPN,2,2012,Badminton
"Doubles, Women",RUS,3,2012,Badminton
"Singles, Men",CHN,1,2012,Badminton
"Singles, Men",MAS,2,2012,Badminton
"Singles, Men",CHN,3,2012,Badminton
"Singles, Women",CHN,1,2012,Badminton
"Singles, Women",CHN,2,2012,Badminton
"Singles, Women",IND,3,2012,Badminton
"Basketball, Men",USA,1,2012,Basketball
"Basketball, Men",ESP,2,2012,Basketball
"Basketball, Men",RUS,3,2012,Basketball
"Basketball, Women",USA,1,2012,Basketball
"Basketball, Women",FRA,2,2012,Basketball
"Basketball, Women",AUS,3,2012,Basketball
"Beach Volleyball, Men",GER,1,2012,Beach Volleyball
"Beach Volleyball, Men",BRA,2,2012,Beach Volleyball
"Beach Volleyball, Men",LAT,3,2012,Beach Volleyball
"Beach Volleyball, Women",USA,1,2012,Beach Volleyball
"Beach Volleyball, Women",USA,2,2012,Beach Volleyball
"Beach Volleyball, Women",BRA,3,2012,Beach Volleyball
"Bantamweight, Men",GBR,1,2012,Boxing
"Bantamweight, Men",IRL,2,2012,Boxing
"Bantamweight, Men",CUB,3,2012,Boxing
"Bantamweight, Men",JPN,3,2012,Boxing
"Flyweight, Men",CUB,1,2012,Boxing
"Flyweight, Men",MGL,2,2012,Boxing
"Flyweight, Men",RUS,3,2012,Boxing
"Flyweight, Men",IRL,3,2012,Boxing
"Flyweight, Women",GBR,1,2012,Boxing
"Flyweight, Women",CHN,2,2012,Boxing
"Flyweight, Women",USA,3,2012,Boxing
"Flyweight, Women",IND,3,2012,Boxing
"Heavyweight, Men",UKR,1,2012,Boxing
"Heavyweight, Men",ITA,2,2012,Boxing
"Heavyweight, Men",BUL,3,2012,Boxing
"Heavyweight, Men",AZE,3,2012,Boxing
"Light-Flyweight, Men",CHN,1,2012,Boxing
"Light-Flyweight, Men",THA,2,2012,Boxing
"Light-Flyweight, Men",IRL,3,2012,Boxing
"Light-Flyweight, Men",RUS,3,2012,Boxing
"Light-Heavyweight, Men",RUS,1,2012,Boxing
"Light-Heavyweight, Men",KAZ,2,2012,Boxing
"Light-Heavyweight, Men",BRA,3,2012,Boxing
"Light-Heavyweight, Men",UKR,3,2012,Boxing
"Lightweight, Men",UKR,1,2012,Boxing
"Lightweight, Men",KOR,2,2012,Boxing
"Lightweight, Men",CUB,3,2012,Boxing
"Lightweight, Men",LTU,3,2012,Boxing
"Lightweight, Women",IRL,1,2012,Boxing
"Lightweight, Women",RUS,2,2012,Boxing
"Lightweight, Women",TJK,3,2012,Boxing
"Lightweight, Women",BRA,3,2012,Boxing
"Light-Welterweight, Men",CUB,1,2012,Boxing
"Light-Welterweight, Men",UKR,2,2012,Boxing
"Light-Welterweight, Men",ITA,3,2012,Boxing
"Light-Welterweight, Men",MGL,3,2012,Boxing
"Middleweight, Men",JPN,1,2012,Boxing
"Middleweight, Men",BRA,2,2012,Boxing
"Middleweight, Men",GBR,3,2012,Boxing
"Middleweight, Men",UZB,3,2012,Boxing
"Middleweight, Women",USA,1,2012,Boxing
"Middleweight, Women",RUS,2,2012,Boxing
"Middleweight, Women",KAZ,3,2012,Boxing
"Middleweight, Women",CHN,3,2012,Boxing
"Super-Heavyweight, Men",GBR,1,2012,Boxing
"Super-Heavyweight, Men",ITA,2,2012,Boxing
"Super-Heavyweight, Men",AZE,3,2012,Boxing
"Super-Heavyweight, Men",KAZ,3,2012,Boxing
"Welterweight, Men",KAZ,1,2012,Boxing
"Welterweight, Men",GBR,2,2012,Boxing
"Welterweight, Men",UKR,3,2012,Boxing
"Welterweight, Men",RUS,3,2012,Boxing
"Canadian Doubles, Slalom, Men",GBR,1,2012,Canoe Slalom
"Canadian Doubles, Slalom, Men",GBR,2,2012,Canoe Slalom
"Canadian Doubles, Slalom, Men",SVK,3,2012,Canoe Slalom
"Canadian Singles, Slalom, Men",FRA,1,2012,Canoe Slalom
"Canadian Singles, Slalom, Men",GER,2,2012,Canoe Slalom
"Canadian Singles, Slalom, Men",SVK,3,2012,Canoe Slalom
"Kayak Singles, Slalom, Men",ITA,1,2012,Canoe Slalom
"Kayak Singles, Slalom, Men",CZE,2,2012,Canoe Slalom
"Kayak Singles, Slalom, Men",GER,3,2012,Canoe Slalom
"Kayak Singles, Slalom, Women",FRA,1,2012,Canoe Slalom
"Kayak Singles, Slalom, Women",AUS,2,2012,Canoe Slalom
"Kayak Singles, Slalom, Women",ESP,3,2012,Canoe Slalom
"Canadian Doubles, 1,000 metres, Men",GER,1,2012,Canoe Sprint
"Canadian Doubles, 1,000 metres, Men",BLR,2,2012,Canoe Sprint
"Canadian Doubles, 1,000 metres, Men",RUS,3,2012,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",GER,1,2012,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",ESP,2,2012,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",CAN,3,2012,Canoe Sprint
"Canadian Singles, 200 metres, Men",UKR,1,2012,Canoe Sprint
"Canadian Singles, 200 metres, Men",RUS,3,2012,Canoe Sprint
"Canadian Singles, 200 metres, Men",0,2,2012,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",HUN,1,2012,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",POR,2,2012,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",GER,3,2012,Canoe Sprint
"Kayak Doubles, 200 metres, Men",RUS,1,2012,Canoe Sprint
"Kayak Doubles, 200 metres, Men",BLR,2,2012,Canoe Sprint
"Kayak Doubles, 200 metres, Men",GBR,3,2012,Canoe Sprint
"Kayak Doubles, 500 metres, Women",GER,1,2012,Canoe Sprint
"Kayak Doubles, 500 metres, Women",HUN,2,2012,Canoe Sprint
"Kayak Doubles, 500 metres, Women",POL,3,2012,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",AUS,1,2012,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",HUN,2,2012,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",CZE,3,2012,Canoe Sprint
"Kayak Fours, 500 metres, Women",HUN,1,2012,Canoe Sprint
"Kayak Fours, 500 metres, Women",GER,2,2012,Canoe Sprint
"Kayak Fours, 500 metres, Women",BLR,3,2012,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",NOR,1,2012,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",CAN,2,2012,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",GER,3,2012,Canoe Sprint
"Kayak Singles, 200 metres, Men",GBR,1,2012,Canoe Sprint
"Kayak Singles, 200 metres, Men",ESP,2,2012,Canoe Sprint
"Kayak Singles, 200 metres, Men",CAN,3,2012,Canoe Sprint
"Kayak Singles, 200 metres, Women",NZL,1,2012,Canoe Sprint
"Kayak Singles, 200 metres, Women",UKR,2,2012,Canoe Sprint
"Kayak Singles, 200 metres, Women",HUN,3,2012,Canoe Sprint
"Kayak Singles, 500 metres, Women",HUN,1,2012,Canoe Sprint
"Kayak Singles, 500 metres, Women",UKR,2,2012,Canoe Sprint
"Kayak Singles, 500 metres, Women",RSA,3,2012,Canoe Sprint
"BMX, Men",LAT,1,2012,Cycling BMX Racing
"BMX, Men",AUS,2,2012,Cycling BMX Racing
"BMX, Men",COL,3,2012,Cycling BMX Racing
"BMX, Women",COL,1,2012,Cycling BMX Racing
"BMX, Women",NZL,2,2012,Cycling BMX Racing
"BMX, Women",NED,3,2012,Cycling BMX Racing
"Cross-Country, Men",CZE,1,2012,Cycling Mountain Bike
"Cross-Country, Men",SUI,2,2012,Cycling Mountain Bike
"Cross-Country, Men",ITA,3,2012,Cycling Mountain Bike
"Cross-Country, Women",FRA,1,2012,Cycling Mountain Bike
"Cross-Country, Women",GER,2,2012,Cycling Mountain Bike
"Cross-Country, Women",USA,3,2012,Cycling Mountain Bike
"Individual Time Trial, Men",GBR,1,2012,Cycling Road
"Individual Time Trial, Men",GER,2,2012,Cycling Road
"Individual Time Trial, Men",GBR,3,2012,Cycling Road
"Individual Time Trial, Women",USA,1,2012,Cycling Road
"Individual Time Trial, Women",GER,2,2012,Cycling Road
"Individual Time Trial, Women",RUS,3,2012,Cycling Road
"Road Race, Individual, Men",KAZ,1,2012,Cycling Road
"Road Race, Individual, Men",COL,2,2012,Cycling Road
"Road Race, Individual, Men",NOR,3,2012,Cycling Road
"Road Race, Individual, Women",NED,1,2012,Cycling Road
"Road Race, Individual, Women",GBR,2,2012,Cycling Road
"Road Race, Individual, Women",RUS,3,2012,Cycling Road
"Keirin, Men",GBR,1,2012,Cycling Track
"Keirin, Men",GER,2,2012,Cycling Track
"Keirin, Men",NED,3,2012,Cycling Track
"Keirin, Men",NZL,3,2012,Cycling Track
"Keirin, Women",GBR,1,2012,Cycling Track
"Keirin, Women",CHN,2,2012,Cycling Track
"Keirin, Women",HKG,3,2012,Cycling Track
"Omnium, Men",DEN,1,2012,Cycling Track
"Omnium, Men",FRA,2,2012,Cycling Track
"Omnium, Men",GBR,3,2012,Cycling Track
"Omnium, Women",GBR,1,2012,Cycling Track
"Omnium, Women",USA,2,2012,Cycling Track
"Omnium, Women",AUS,3,2012,Cycling Track
"Sprint, Men",GBR,1,2012,Cycling Track
