Event,Name,NOC,Pos.,Year,Discipline
"Light-Welterweight, Men",Eddie BlayHabib Galhia,GHA,3,1964,Boxing
"Light-Welterweight, Men",,TUN,3,1964,Boxing
"Middleweight, Men",Valery Popenchenko,URS,1,1964,Boxing
"Middleweight, Men",,,1,1964,Boxing
"Middleweight, Men",Emil Schulz,GER,2,1964,Boxing
"Middleweight, Men",,,2,1964,Boxing
"Middleweight, Men",Franco ValleTadeusz Walasek,ITA,3,1964,Boxing
"Middleweight, Men",,POL,3,1964,Boxing
"Welterweight, Men",Marian Kasprzyk,POL,1,1964,Boxing
"Welterweight, Men",,,1,1964,Boxing
"Welterweight, Men",RiÄardas Tamulis,URS,2,1964,Boxing
"Welterweight, Men",,,2,1964,Boxing
"Welterweight, Men",Pertti PurhonenSilvano Bertini,FIN,3,1964,Boxing
"Welterweight, Men",,ITA,3,1964,Boxing
"Canadian Doubles, 1,000 metres, Men",Soviet Union,URS,1,1964,Canoe Sprint
"Canadian Doubles, 1,000 metres, Men",France,FRA,2,1964,Canoe Sprint
"Canadian Doubles, 1,000 metres, Men",Denmark,DEN,3,1964,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",JÃ¼rgen Eschert,GER,1,1964,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",Andrei Igorov,ROU,2,1964,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",Yevgeny Penyayev,URS,3,1964,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",Sweden,SWE,1,1964,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",Netherlands,NED,2,1964,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",Unified Team of Germany,GER,3,1964,Canoe Sprint
"Kayak Doubles, 500 metres, Women",Unified Team of Germany,GER,1,1964,Canoe Sprint
"Kayak Doubles, 500 metres, Women",United States,USA,2,1964,Canoe Sprint
"Kayak Doubles, 500 metres, Women",Romania,ROU,3,1964,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",Soviet Union,URS,1,1964,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",Unified Team of Germany,GER,2,1964,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",Romania,ROU,3,1964,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",Rolf Peterson,SWE,1,1964,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",MihÃ¡ly Hesz,HUN,2,1964,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",Aurel Vernescu,ROU,3,1964,Canoe Sprint
"Kayak Singles, 500 metres, Women",Lyudmila Khvedosyuk,URS,1,1964,Canoe Sprint
"Kayak Singles, 500 metres, Women",Hilde Lauer,ROU,2,1964,Canoe Sprint
"Kayak Singles, 500 metres, Women",Marcia Jones,USA,3,1964,Canoe Sprint
"100 kilometres Team Time Trial, Men",Netherlands,NED,1,1964,Cycling Road
"100 kilometres Team Time Trial, Men",Italy,ITA,2,1964,Cycling Road
"100 kilometres Team Time Trial, Men",Sweden,SWE,3,1964,Cycling Road
"Road Race, Individual, Men",Mario Zanin,ITA,1,1964,Cycling Road
"Road Race, Individual, Men",Kjell Rodian,DEN,2,1964,Cycling Road
"Road Race, Individual, Men",Walter Godefroot,BEL,3,1964,Cycling Road
"1,000 metres Time Trial, Men",Patrick Sercu,BEL,1,1964,Cycling Track
"1,000 metres Time Trial, Men",Giovanni Pettenella,ITA,2,1964,Cycling Track
"1,000 metres Time Trial, Men",Pierre Trentin,FRA,3,1964,Cycling Track
"Individual Pursuit, 4,000 metres, Men",JiÅÃ­ Daler,TCH,1,1964,Cycling Track
"Individual Pursuit, 4,000 metres, Men",Giorgio Ursi,ITA,2,1964,Cycling Track
"Individual Pursuit, 4,000 metres, Men",Preben Isaksson,DEN,3,1964,Cycling Track
"Sprint, Men",Giovanni Pettenella,ITA,1,1964,Cycling Track
"Sprint, Men",Sergio Bianchetto,ITA,2,1964,Cycling Track
"Sprint, Men",Daniel Morelon,FRA,3,1964,Cycling Track
"Tandem Sprint, 2,000 metres, Men",Italy,ITA,1,1964,Cycling Track
"Tandem Sprint, 2,000 metres, Men",Soviet Union,URS,2,1964,Cycling Track
"Tandem Sprint, 2,000 metres, Men",Unified Team of Germany,GER,3,1964,Cycling Track
"Team Pursuit, 4,000 metres, Men",Unified Team of Germany,GER,1,1964,Cycling Track
