Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP (USD Mil)
Austria,AUT,0,0,1,1,2016,Rio de Janeiro,BRA,460282.647
Belarus,BLR,1,4,4,9,2016,Rio de Janeiro,BRA,
Vietnam,VNM,1,1,0,2,2016,Rio de Janeiro,BRA,
Romania,ROU,1,1,2,4,2016,Rio de Janeiro,BRA,478201.584
United States,USA,46,37,38,121,2016,Rio de Janeiro,BRA,18745075
Bahrain,BHR,1,1,0,2,2016,Rio de Janeiro,BRA,
New Zealand,NZL,4,9,5,18,2016,Rio de Janeiro,BRA,188355.645
Bahamas,BHS,1,0,1,2,2016,Rio de Janeiro,BRA,
Philippines,PHL,0,1,0,1,2016,Rio de Janeiro,BRA,
Armenia,ARM,1,3,0,4,2016,Rio de Janeiro,BRA,
Ukraine,UKR,2,5,4,11,2016,Rio de Janeiro,BRA,
