Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
Lebanon,LBN,0,0,1,1,1980,Moscow,RUS,,North,East,5698.895203,7405.095953,1641.637932,6110.127458,1516.575796,8383.906777,4985.800755,1888.973336,6535.637629,7853.243675,704.7795702,4436.084209,2289.322359,5790.279213,5698.895203,2588928.0,67.952
Morocco,MAR,2,0,0,2,1984,Los Angeles,USA,14824728528.0,,,,,,,,,,,,,,,,,,22002641.0,60.717
Yugoslavia,YUG,7,4,7,18,1984,Los Angeles,USA,,,,,,,,,,,,,,,,,,,,
Romania,ROU,20,16,17,53,1984,Los Angeles,USA,,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396,22640547.0,69.65878049
Chinese Taipei,TPE,0,0,1,1,1984,Los Angeles,USA,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,0,0,1,1,1988,Seoul,KOR,3204461567.0,,,,,,,,,,,,,,,,,,2089709.0,59.655
Czech Republic,CZE,3,3,2,8,1988,Seoul,KOR,,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139,10355276.0,71.64146341
U.S. Virgin Islands,VIR,0,1,0,1,1988,Seoul,KOR,,North,West,11214.83719,1887.120748,4641.939767,1976.639364,6128.940959,3128.08256,10514.79421,3979.061514,1523.817501,12316.91262,4988.277293,9978.731871,4199.78415,3068.24611,11214.83719,100952.0,73.71758537
Poland,POL,2,5,9,16,1988,Seoul,KOR,,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455,37824487.0,71.33170732
Netherlands Antilles,ANT,0,1,0,1,1988,Seoul,KOR,,North,West,11508.37538,1715.912292,5055.514252,2335.760321,6533.414895,3087.4549,10815.66088,4381.611257,1716.97446,12433.94548,5346.833016,10288.41253,4640.021522,2794.261741,11508.37538,,
Yugoslavia,YUG,3,4,5,12,1988,Seoul,KOR,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,1,0,2,3,1988,Seoul,KOR,25705296184.0,,,,,,,,,,,,,,,,,,23903592.0,63.535
Hungary,HUN,11,6,6,23,1988,Seoul,KOR,,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595,10596487.0,70.02341463
Estonia,EST,1,0,1,2,1992,Barcelona,ESP,,North,East,6494.667894,7290.647702,1039.512225,5544.152061,749.304823,7983.700543,5771.79885,1731.29871,6198.651988,9441.214208,1494.198241,5188.569733,1444.977146,6764.458204,6494.667894,1533091.0,68.86341463
Latvia,LVA,0,2,1,3,1992,Barcelona,ESP,,North,East,6472.043995,7201.990217,894.9542101,5493.861259,728.3641535,7923.971011,5747.233569,1588.211167,6127.493309,9332.163291,1307.988135,5164.406898,1364.93856,6597.559388,6472.043995,2614338.0,68.39609756
Morocco,MAR,1,1,1,3,1992,Barcelona,ESP,33711069431.0,,,,,,,,,,,,,,,,,,25711410.0,65.715
Mongolia,MNG,0,0,2,2,1992,Barcelona,ESP,1317611864.0,,,,,,,,,,,,,,,,,,2243495.0,60.67
Lithuania,LTU,1,0,1,2,1992,Barcelona,ESP,,North,East,6381.32622,7207.311549,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874,1543.745159,6150.070693,9188.192856,1163.042112,5073.410437,1393.769299,6509.395014,6381.32622,3700114.0,70.23439024
Slovenia,SVN,0,0,2,2,1992,Barcelona,ESP,,North,East,6879.710699,6464.243825,208.6648808,4908.681416,1414.692547,7285.447633,6154.033587,737.3979486,5456.411672,9287.48053,767.6279331,5580.099681,866.7208941,5700.065109,6879.710699,1996498.0,73.30487805
