Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games,Total Competitors,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
France,FRA,18,10,3,14,1980,Moscow,RUS,701.288,North,East,55161510,74.05121951,4657.586983,121,14,0.115702479,98,12,0.12244898,23,2,0.086956522,0,0
United Kingdom,GBR,15,14,9,21,1980,Moscow,RUS,564.948,North,West,56314216,73.67560976,4727.145661,219,21,0.095890411,149,17,0.11409396,70,4,0.057142857,0,0
Greece,GRC,3,0,2,3,1980,Moscow,RUS,56.82966427,North,East,9642505,73.64714634,4570.22862,41,3,0.073170732,38,2,0.052631579,3,0,0,0,0
Guyana,GUY,0,0,1,1,1980,Moscow,RUS,0.6032,North,West,780153,62.498,6123.836514,8,1,0.125,7,1,0.142857143,1,0,0,0,0
India,IND,3,0,0,1,1980,Moscow,RUS,186.325,North,East,698952837,53.814,5416.461758,72,1,0.013888889,56,1,0.017857143,16,0,0,0,0
Ireland,IRL,0,2,1,2,1980,Moscow,RUS,21.75126558,North,West,3412800,72.6232439,4872.616191,47,2,0.042553191,44,1,0.022727273,3,0,0,0,0
Italy,ITA,24,6,4,15,1980,Moscow,RUS,477.257,North,East,56433883,73.94317073,4550.870026,159,15,0.094339623,121,10,0.082644628,38,1,0.026315789,4,0.025157233
Jamaica,JAM,0,0,3,3,1980,Moscow,RUS,2.679409453,North,West,2162839,70.793,6373.497473,18,3,0.166666667,11,2,0.181818182,7,1,0.142857143,0,0
Mexico,MEX,0,2,3,4,1980,Moscow,RUS,205.139,North,West,67761367,66.553,7089.643002,45,4,0.088888889,36,1,0.027777778,9,0,0,0,0
Netherlands,NLD,0,2,2,3,1980,Moscow,RUS,195.152,North,East,14149800,75.74317073,4712.2653,75,3,0.04,57,2,0.035087719,18,1,0.055555556,0,0
Sweden,SWE,9,6,6,12,1980,Moscow,RUS,142.092,North,East,8310531,75.74097561,4888.823928,145,12,0.082758621,122,8,0.06557377,23,1,0.043478261,3,0.020689655
Uganda,UGA,0,2,0,1,1980,Moscow,RUS,1.24461,North,East,12442333,50,5437.071325,13,1,0.076923077,13,1,0.076923077,0,0,0,0,0
Venezuela,VEN,0,2,0,1,1980,Moscow,RUS,59.11651163,North,West,15182616,68.542,6249.581149,37,1,0.027027027,37,1,0.027027027,0,0,0,0,0
Zimbabwe,ZWE,3,0,0,1,1980,Moscow,RUS,6.6788682,South,East,7408630,59.731,6067.669821,42,1,0.023809524,23,0,0,19,1,0.052631579,0,0
Australia,AUS,12,16,12,24,1984,Los Angeles,USA,193.242,South,East,15544000,75.38780488,8930.279555,242,24,0.099173554,169,16,0.094674556,73,7,0.095890411,1,0.004132231
Austria,AUT,3,2,1,3,1984,Los Angeles,USA,67.98534489,North,East,7561434,73.61219512,4604.985842,102,3,0.029411765,71,3,0.042253521,31,0,0,0,0
Belgium,BEL,3,2,2,4,1984,Los Angeles,USA,83.34953016,North,East,9855372,74.40487805,4675.567093,63,4,0.063492063,47,2,0.042553191,16,2,0.125,0,0
Brazil,BRA,3,10,2,8,1984,Los Angeles,USA,209.024,South,West,132383569,64.039,6524.317219,147,8,0.054421769,126,7,0.055555556,21,0,0,0,0
Canada,CAN,30,36,16,44,1984,Los Angeles,USA,355.373,North,West,25607053,76.21707317,6264.481855,408,44,0.107843137,257,25,0.097276265,151,16,0.105960265,3,0.007352941
Switzerland,CHE,0,8,4,8,1984,Los Angeles,USA,109.547,North,East,6441865,76.60853659,4591.695619,129,8,0.062015504,102,5,0.049019608,27,0,0,0,0
China,CHN,45,16,9,32,1984,Los Angeles,USA,259.947,North,East,1036825000,68.231,6152.34114,267,32,0.119850187,182,22,0.120879121,85,10,0.117647059,0,0
Ivory Coast,CIV,0,2,0,1,1984,Los Angeles,USA,6.841638715,North,West,9530103,52.645,5273.257207,15,1,0.066666667,14,1,0.071428571,1,0,0,0,0
Cameroon,CMR,0,0,1,1,1984,Los Angeles,USA,7.311937457,North,East,9757849,52.997,5286.381803,46,1,0.02173913,42,1,0.023809524,4,0,0,0,0
Colombia,COL,0,2,0,1,1984,Los Angeles,USA,38.25312074,North,West,29331230,68.529,6596.774323,39,1,0.025641026,36,1,0.027777778,3,0,0,0,0
Germany,DEU,51,38,23,59,1984,Los Angeles,USA,725.111,North,East,77858685,73.78292683,4684.012143,390,59,0.151282051,267,36,0.134831461,123,18,0.146341463,5,0.012820513
Denmark,DNK,0,6,3,6,1984,Los Angeles,USA,59.10523685,North,East,5111619,74.56219512,4769.836091,60,6,0.1,49,3,0.06122449,11,1,0.090909091,2,0.033333333
Dominican Republic,DOM,0,0,1,1,1984,Los Angeles,USA,11.594,North,West,6331760,64.326,6178.694056,19,1,0.052631579,15,1,0.066666667,4,0,0,0,0
Algeria,DZA,0,0,2,2,1984,Los Angeles,USA,53.69827891,North,East,21763578,63.13,4616.552558,33,2,0.060606061,33,2,0.060606061,0,0,0,0,0
Egypt,EGY,0,2,0,1,1984,Los Angeles,USA,33.97118899,North,East,47968643,61.091,4721.534724,114,1,0.00877193,108,1,0.009259259,6,0,0,0,0
Spain,ESP,3,4,2,5,1984,Los Angeles,USA,172.103,North,West,38330364,76.29536585,4676.218313,179,5,0.027932961,163,4,0.024539877,16,0,0,0,0
Finland,FIN,12,4,6,12,1984,Los Angeles,USA,52.88880095,North,East,4881803,74.51902439,4940.610108,86,12,0.139534884,73,11,0.150684932,13,1,0.076923077,0,0
France,FRA,15,14,16,28,1984,Los Angeles,USA,530.684,North,East,56337675,75,4657.586983,238,28,0.117647059,189,24,0.126984127,49,3,0.06122449,1,0.004201681
United Kingdom,GBR,15,22,21,37,1984,Los Angeles,USA,461.487,North,West,56422072,74.77804878,4727.145661,337,37,0.109792285,229,23,0.100436681,108,10,0.092592593,4,0.011869436
Greece,GRC,0,2,1,2,1984,Los Angeles,USA,48.02002418,North,East,9895801,74.82912195,4570.22862,63,2,0.031746032,59,2,0.033898305,4,0,0,0,0
Ireland,IRL,0,2,0,1,1984,Los Angeles,USA,20.10980024,North,West,3532423,73.53146341,4872.616191,42,1,0.023809524,28,1,0.035714286,14,0,0,0,0
Iceland,ISL,0,0,1,1,1984,Los Angeles,USA,2.864441356,North,West,239511,77.57658537,5458.149685,30,1,0.033333333,27,1,0.037037037,3,0,0,0,0
Italy,ITA,42,12,12,32,1984,Los Angeles,USA,437.888,North,East,56576718,75.3895122,4550.870026,268,32,0.119402985,222,25,0.112612613,46,4,0.086956522,3,0.01119403
Jamaica,JAM,0,2,2,3,1984,Los Angeles,USA,2.373566957,North,West,2306367,71.614,6373.497473,45,3,0.066666667,31,1,0.032258065,14,2,0.142857143,0,0
Japan,JPN,30,16,14,32,1984,Los Angeles,USA,1318.38,North,East,120083000,77.36536585,6878.392656,226,32,0.14159292,174,29,0.166666667,52,3,0.057692308,0,0
Kenya,KEN,3,0,2,3,1984,Los Angeles,USA,6.19143707,South,East,19146403,59.093,5507.264521,61,3,0.049180328,56,3,0.053571429,5,0,0,0,0
South Korea,KOR,18,12,7,19,1984,Los Angeles,USA,97.51023599,North,East,40405956,68.19512195,6422.407919,175,19,0.108571429,116,15,0.129310345,59,4,0.06779661,0,0
Mexico,MEX,6,6,1,6,1984,Los Angeles,USA,184.261,North,West,74352631,68.38,7089.643002,99,6,0.060606061,77,6,0.077922078,22,0,0,0,0
Nigeria,NGA,0,2,1,2,1984,Los Angeles,USA,73.48435952,North,East,81448757,46.106,5132.154627,32,2,0.0625,30,2,0.066666667,2,0,0,0,0
Netherlands,NLD,15,4,6,13,1984,Los Angeles,USA,143.913,North,East,14424211,76.23317073,4712.2653,136,13,0.095588235,82,2,0.024390244,54,11,0.203703704,0,0
Norway,NOR,0,2,2,3,1984,Los Angeles,USA,62.05795503,North,East,4140099,76.22439024,4905.527072,103,3,0.029126214,84,2,0.023809524,19,1,0.052631579,0,0
New Zealand,NZL,24,2,2,11,1984,Los Angeles,USA,21.66597532,South,East,3227100,74.37073171,10162.12167,130,11,0.084615385,98,8,0.081632653,32,0,0,0,0
Pakistan,PAK,3,0,0,1,1984,Los Angeles,USA,31.15182547,North,East,89213708,58.213,5320.200653,31,1,0.032258065,31,1,0.032258065,0,0,0,0,0
Puerto Rico,PRI,0,2,1,2,1984,Los Angeles,USA,19.1626,North,West,3344190,74.17763415,6087.802239,51,2,0.039215686,43,2,0.046511628,8,0,0,0,0
Portugal,PRT,3,0,2,3,1984,Los Angeles,USA,25.21796905,North,West,9996232,72.51463415,4772.6015,38,3,0.078947368,29,2,0.068965517,9,1,0.111111111,0,0
Sweden,SWE,6,22,6,19,1984,Los Angeles,USA,109.201,North,East,8336605,76.81585366,4888.823928,174,19,0.109195402,131,15,0.114503817,43,3,0.069767442,1,0.005747126
Syria,SYR,0,2,0,1,1984,Los Angeles,USA,17.50308298,North,East,10293048,68.005,4741.878703,9,1,0.111111111,9,1,0.111111111,0,0,0,0,0
Thailand,THA,0,2,0,1,1984,Los Angeles,USA,41.79759296,North,East,51094870,67.128,6073.180027,35,1,0.028571429,25,1,0.04,10,0,0,0,0
Turkey,TUR,0,0,3,3,1984,Los Angeles,USA,59.98990946,North,East,48114158,61.111,4669.026362,46,3,0.065217391,45,3,0.066666667,1,0,0,0,0
United States,USA,249,122,30,174,1984,Los Angeles,USA,4037.61,North,West,235825000,74.56341463,6262.408512,522,174,0.333333333,339,101,0.297935103,183,60,0.327868852,13,0.024904215
Venezuela,VEN,0,0,3,3,1984,Los Angeles,USA,60.01028571,North,West,16876703,69.497,6249.581149,26,3,0.115384615,25,3,0.12,1,0,0,0,0
Zambia,ZMB,0,0,1,1,1984,Los Angeles,USA,2.739444444,South,East,6701547,52.87,5970.820348,16,1,0.0625,16,1,0.0625,0,0,0,0,0
Argentina,ARG,0,2,1,2,1988,Seoul,KOR,126.207,South,West,31668939,71.186,7691.760326,118,2,0.016949153,93,1,0.010752688,25,1,0.04,0,0
Australia,AUS,9,12,5,14,1988,Seoul,KOR,235.658,South,East,16532200,76.43268293,8930.279555,252,14,0.055555556,180,9,0.05,72,5,0.069444444,0,0
Austria,AUT,3,0,0,1,1988,Seoul,KOR,133.339,North,East,7585317,75.21707317,4604.985842,73,1,0.01369863,66,1,0.015151515,7,0,0,0,0
Belgium,BEL,0,0,2,2,1988,Seoul,KOR,162.299,North,East,9901664,75.56585366,4675.567093,59,2,0.033898305,35,1,0.028571429,24,0,0,0,0
Bulgaria,BGR,30,24,13,35,1988,Seoul,KOR,22.55594118,North,East,8981446,71.60439024,4584.094277,172,35,0.203488372,104,19,0.182692308,68,16,0.235294118,0,0
Brazil,BRA,3,4,3,6,1988,Seoul,KOR,330.397,South,West,143627505,65.553,6524.317219,160,6,0.0375,127,4,0.031496063,33,0,0,0,0
Canada,CAN,9,4,5,10,1988,Seoul,KOR,507.354,North,West,26791747,76.9195122,6264.481855,328,10,0.030487805,223,5,0.022421525,105,3,0.028571429,2,0.006097561
Switzerland,CHE,0,4,2,4,1988,Seoul,KOR,215.722,North,East,6593386,77.22658537,4591.695619,99,4,0.04040404,72,2,0.027777778,27,0,0,0,0
China,CHN,15,22,12,28,1988,Seoul,KOR,312.354,North,East,1101630000,68.954,6152.34114,290,28,0.096551724,165,13,0.078787879,125,15,0.12,0,0
Colombia,COL,0,0,1,1,1988,Seoul,KOR,39.21255005,North,West,31822527,69.436,6596.774323,40,1,0.025,34,1,0.029411765,6,0,0,0,0
Costa Rica,CRI,0,2,0,1,1988,Seoul,KOR,4.614629898,North,West,2960932,75.243,6772.216453,16,1,0.0625,9,0,0,7,1,0.142857143,0,0
Germany,DEU,33,28,15,40,1988,Seoul,KOR,1401.23,North,East,78144619,74.7924878,4684.012143,606,142,0.234323432,401,74,0.184538653,205,61,0.297560976,7,0.011551155
Germany,DEU,111,70,30,102,1988,Seoul,KOR,1401.23,North,East,78144619,74.7924878,4684.012143,606,142,0.234323432,401,74,0.184538653,205,61,0.297560976,7,0.011551155
Djibouti,DJI,0,0,1,1,1988,Seoul,KOR,0.395794539,North,East,528993,56.271,5198.490481,6,1,0.166666667,6,1,0.166666667,0,0,0,0,0
Denmark,DNK,6,2,1,4,1988,Seoul,KOR,115.553,North,East,5129516,74.77170732,4769.836091,88,4,0.045454545,67,2,0.029850746,21,0,0,0,0
Spain,ESP,3,2,2,4,1988,Seoul,KOR,376.16,North,West,38766939,76.74707317,4676.218313,229,4,0.017467249,200,2,0.01,29,0,0,0,0
Finland,FIN,3,2,2,4,1988,Seoul,KOR,109.059,North,East,4946481,74.57707317,4940.610108,78,4,0.051282051,59,4,0.06779661,19,0,0,0,0
France,FRA,18,8,6,16,1988,Seoul,KOR,1018.85,North,East,57627106,76.1,4657.586983,266,16,0.060150376,192,11,0.057291667,74,1,0.013513514,4,0.015037594
United Kingdom,GBR,15,20,9,24,1988,Seoul,KOR,910.123,North,West,56928327,75.3804878,4727.145661,345,24,0.069565217,219,17,0.077625571,126,3,0.023809524,4,0.011594203
Greece,GRC,0,0,1,1,1988,Seoul,KOR,76.26127793,North,East,10036983,75.8912439,4570.22862,56,1,0.017857143,44,1,0.022727273,12,0,0,0,0
Indonesia,IDN,0,2,0,1,1988,Seoul,KOR,84.30017448,South,East,174975953,61.512,6727.82979,29,1,0.034482759,23,0,0,6,1,0.166666667,0,0
Iran,IRN,0,2,0,1,1988,Seoul,KOR,123.058,North,East,53077312,60.516,4946.229137,23,1,0.043478261,23,1,0.043478261,0,0,0,0,0
Italy,ITA,18,8,4,14,1988,Seoul,KOR,891.609,North,East,56629288,76.37073171,4550.870026,253,14,0.055335968,212,13,0.061320755,41,1,0.024390244,0,0
Jamaica,JAM,0,4,0,2,1988,Seoul,KOR,3.828310735,North,West,2389415,72.601,6373.497473,35,2,0.057142857,24,1,0.041666667,11,1,0.090909091,0,0
Japan,JPN,12,6,7,14,1988,Seoul,KOR,3071.68,North,East,122578000,78.39926829,6878.392656,255,14,0.054901961,186,11,0.059139785,69,3,0.043478261,0,0
Kenya,KEN,15,4,2,9,1988,Seoul,KOR,8.355380879,South,East,22153685,58.422,5507.264521,74,9,0.121621622,70,9,0.128571429,4,0,0,0,0
South Korea,KOR,36,20,11,33,1988,Seoul,KOR,199.591,North,East,42031247,70.54878049,6422.407919,401,33,0.082294264,269,26,0.096654275,132,7,0.053030303,0,0
Mexico,MEX,0,0,2,2,1988,Seoul,KOR,181.612,North,West,80788725,70.062,7089.643002,83,2,0.024096386,66,2,0.03030303,17,0,0,0,0
