Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
Venezuela,VEN,1,0,0,1,1968,Mexico City,MEX,10034444444.0,North,West,11393.90381,1880.336481,5001.499562,2478.228765,6472.067202,3263.545939,10704.02322,4322.067839,1888.620258,12274.09993,5262.688568,10180.21662,4605.444286,2623.070951,11393.90381,10702281.0,63.916
Argentina,ARG,0,0,2,2,1968,Mexico City,MEX,26436857247.0,South,West,11979.01152,4384.369678,7015.770065,5707.86309,8266.251627,5802.97869,11379.30611,6344.970262,5013.546431,11533.28485,6837.56043,10951.96318,6877.436486,1303.080956,11979.01152,23168268.0,65.989
Russia,RUS,29,32,30,91,1968,Mexico City,MEX,,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0.0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872,128928000.0,67.87434146
Belgium,BEL,0,1,1,2,1968,Mexico City,MEX,21376353113.0,North,East,7465.484676,6040.287639,434.360945,4369.683402,1841.269434,6781.550401,6738.867833,639.0615885,4973.865723,9915.550018,1378.649126,6161.241147,239.8764718,5688.273316,7465.484676,9618756.0,70.69317073
Australia,AUS,5,7,5,17,1968,Mexico City,MEX,32665472057.0,South,East,4913.860856,14055.77408,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.02612,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856,12009000.0,70.91902439
Austria,AUT,0,2,2,4,1968,Mexico City,MEX,12440625313.0,North,East,6793.721355,6605.111663,253.3477585,5014.993429,1259.691378,7405.428284,6067.31086,896.7318071,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.69563,6793.721355,7415403.0,70.05756098
Yugoslavia,YUG,3,3,2,8,1968,Mexico City,MEX,,,,,,,,,,,,,,,,,,,,
South Korea,KOR,0,1,1,2,1968,Mexico City,MEX,6119284294.0,North,East,726.745582,12380.98084,6318.972954,11047.48495,5025.941222,13364.69711,0.0,6794.252899,11517.21381,5093.35796,5626.014846,583.2324219,6977.307506,10153.1711,726.745582,30838302.0,59.94460976
Pakistan,PAK,1,0,0,1,1968,Mexico City,MEX,8041999160.0,North,East,3637.034033,9453.034885,3509.592327,8160.205178,2474.85735,10447.26027,2928.095499,3911.822101,8598.987912,6303.435514,2725.64684,2391.214242,4181.826383,7442.963227,3637.034033,55102690.0,51.457
Germany,DEU,5,11,10,26,1968,Mexico City,MEX,,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785,77294314.0,70.46509756
Sweden,SWE,2,1,1,4,1968,Mexico City,MEX,31066819929.0,North,East,6835.886355,6965.445894,840.4798442,5197.250774,1086.142946,7640.034601,6112.028674,1503.346409,5861.369457,9701.36456,1520.955875,5528.906607,1125.672413,6577.588157,6835.886355,7912273.0,73.97292683
Greece,GRC,0,0,1,1,1968,Mexico City,MEX,10090675903.0,North,East,6345.328465,6810.891865,975.5308696,5434.583731,1447.592636,7740.653077,5626.014846,1191.790232,5894.536993,8541.551997,0.0,5065.428159,1597.437237,5536.760728,6345.328465,8740765.0,70.30256098
Cuba,CUB,0,4,0,4,1968,Mexico City,MEX,,North,West,12145.25931,959.7442546,5405.504836,1589.019027,6900.018534,2107.325425,11438.33193,4777.760803,745.7027539,13337.29637,5856.225524,10893.17319,4892.460575,3823.071369,12145.25931,8413549.0,68.744
United Kingdom,GBR,5,5,3,13,1968,Mexico City,MEX,107760000000.0,North,West,7703.968961,5845.682904,672.7454291,4143.169369,2061.448482,6562.775491,6977.307506,698.5270459,4762.576734,10138.65589,1597.437237,6399.345926,0.0,5639.574982,7703.968961,55211700.0,71.72439024
Cameroon,CMR,0,1,0,1,1968,Mexico City,MEX,1046191192.0,North,East,7348.660545,6127.096655,3080.1856,5560.694684,3855.419933,7382.937537,6706.052031,2662.023508,5628.709012,8059.947265,2442.711544,6241.863267,3360.488213,3490.276702,7348.660545,6201410.0,45.509
Bulgaria,BGR,2,4,3,9,1968,Mexico City,MEX,,North,East,6375.306752,6867.582742,746.1045184,5396.946733,1183.851472,7744.343588,5651.319682,1150.565063,5905.006345,8751.145986,336.3297301,5081.741124,1410.485748,5785.377927,6375.306752,8369603.0,71.22512195
Brazil,BRA,0,1,2,3,1968,Mexico City,MEX,33875881876.0,South,West,10813.30687,3693.901245,5448.606277,4476.475126,6740.502771,5154.81836,10177.04931,4770.980821,3947.154167,10926.30828,5332.087331,9713.367679,5290.56266,566.3305179,10813.30687,90387079.0,58.025
United States,USA,45,28,34,107,1968,Mexico City,MEX,942500000000.0,North,West,11833.78191,1869.600659,4870.776436,393.7513086,6335.992081,2286.644968,11113.64006,4324.97978,585.3087828,13461.12519,5488.563128,10549.84124,4276.178945,4712.161285,11833.78191,200706000.0,69.95121951
New Zealand,NZL,1,0,2,3,1968,Mexico City,MEX,5180597621.0,South,East,5633.175948,15503.5678,10817.74758,14901.59198,10022.90373,16800.39824,6014.854576,10995.36704,15046.35597,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948,2748100.0,71.12439024
Canada,CAN,1,3,1,5,1968,Mexico City,MEX,71829810520.0,North,West,11761.45096,2215.276999,4754.326022,17.85869536,6197.178624,2462.817034,11038.50466,4244.864848,933.6493084,13525.33305,5424.860063,10469.8937,4136.60053,5023.162376,11761.45096,20744000.0,72.35341463
Norway,NOR,1,1,0,2,1968,Mexico City,MEX,10159934137.0,North,East,7244.041585,6597.650799,789.7038605,4795.701101,1495.737142,7243.423025,6519.505523,1332.100898,5475.721879,10030.82783,1674.107286,5936.572968,804.9982622,6398.772343,7244.041585,3816486.0,73.94195122
Ethiopia,ETH,1,1,0,2,1968,Mexico City,MEX,,North,East,5825.236731,7541.375715,3071.432443,6713.587097,3204.202646,8726.251177,5190.225418,2984.306758,6919.135525,6832.509437,2133.215973,4740.553289,3598.175808,4969.84163,5825.236731,26944386.0,42.355
Chinese Taipei,TPE,0,0,1,1,1968,Mexico City,MEX,,,,,,,,,,,,,,,,,,,,
