,Year,Country Code,Male Wins,Male Medal Ratio,Female Wins,Female Medal Ratio,Total Medal Count,Open Wins,Open Win Ratio
348,1992,NLD,7.0,0.4666666666666667,5.0,0.3333333333333333,15,3.0,0.2
349,1992,NOR,5.0,0.7142857142857143,2.0,0.2857142857142857,7,0.0,0.0
350,1992,NZL,4.0,0.4,3.0,0.3,10,3.0,0.3
351,1992,PAK,1.0,1.0,,,1,,
352,1992,PHL,1.0,1.0,,,1,,
353,1992,POL,17.0,0.8947368421052632,2.0,0.10526315789473684,19,0.0,0.0
354,1992,PRI,1.0,1.0,,,1,,
355,1992,PRK,7.0,0.7777777777777778,2.0,0.2222222222222222,9,0.0,0.0
356,1992,QAT,1.0,1.0,,,1,,
357,1992,ROU,7.0,0.3888888888888889,11.0,0.6111111111111112,18,0.0,0.0
358,1992,SUR,1.0,1.0,,,1,,
359,1992,SVN,2.0,1.0,,,2,,
360,1992,SWE,10.0,0.8333333333333334,2.0,0.16666666666666666,12,0.0,0.0
361,1992,THA,1.0,1.0,,,1,,
362,1992,TUR,5.0,0.8333333333333334,1.0,0.16666666666666666,6,0.0,0.0
363,1992,TWN,1.0,1.0,,,1,,
364,1992,USA,58.0,0.5370370370370371,44.0,0.4074074074074074,108,6.0,0.05555555555555555
365,1992,ZAF,1.0,0.5,1.0,0.5,2,0.0,0.0
366,1996,ARG,3.0,1.0,,,3,,
367,1996,ARM,2.0,1.0,,,2,,
368,1996,AUS,21.0,0.5121951219512195,17.0,0.4146341463414634,41,3.0,0.07317073170731707
369,1996,AUT,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
370,1996,AZE,1.0,1.0,,,1,,
371,1996,BDI,1.0,1.0,,,1,,
372,1996,BEL,3.0,0.5,3.0,0.5,6,0.0,0.0
373,1996,BGR,11.0,0.7333333333333333,4.0,0.26666666666666666,15,0.0,0.0
374,1996,BHS,,,1.0,1.0,1,,
375,1996,BLR,11.0,0.7333333333333333,4.0,0.26666666666666666,15,0.0,0.0
376,1996,BRA,7.0,0.4666666666666667,4.0,0.26666666666666666,15,4.0,0.26666666666666666
377,1996,CAN,11.0,0.5,11.0,0.5,22,0.0,0.0
378,1996,CHE,5.0,0.7142857142857143,1.0,0.14285714285714285,7,1.0,0.14285714285714285
379,1996,CHN,21.0,0.42,28.0,0.56,50,1.0,0.02
380,1996,CRI,,,1.0,1.0,1,,
381,1996,CUB,18.0,0.72,7.0,0.28,25,0.0,0.0
382,1996,CZE,7.0,0.6363636363636364,4.0,0.36363636363636365,11,0.0,0.0
383,1996,DEU,38.0,0.5846153846153846,22.0,0.3384615384615385,65,5.0,0.07692307692307693
384,1996,DNK,3.0,0.5,3.0,0.5,6,0.0,0.0
385,1996,DQ,1.0,0.5,1.0,0.5,2,0.0,0.0
386,1996,DZA,3.0,1.0,,,3,,
387,1996,ECU,1.0,1.0,,,1,,
388,1996,ESP,10.0,0.5882352941176471,6.0,0.35294117647058826,17,1.0,0.058823529411764705
389,1996,ETH,1.0,0.3333333333333333,2.0,0.6666666666666666,3,0.0,0.0
390,1996,FIN,3.0,0.75,1.0,0.25,4,0.0,0.0
391,1996,FRA,21.0,0.5675675675675675,15.0,0.40540540540540543,37,1.0,0.02702702702702703
392,1996,GBR,13.0,0.8666666666666667,1.0,0.06666666666666667,15,1.0,0.06666666666666667
393,1996,GEO,2.0,1.0,,,2,,
394,1996,GRC,7.0,0.875,1.0,0.125,8,0.0,0.0
395,1996,HKG,,,1.0,1.0,1,,
396,1996,HRV,2.0,1.0,,,2,,
397,1996,HUN,15.0,0.7142857142857143,6.0,0.2857142857142857,21,0.0,0.0
398,1996,IDN,2.0,0.5,2.0,0.5,4,0.0,0.0
399,1996,IND,1.0,1.0,,,1,,
400,1996,IRL,,,4.0,1.0,4,,
401,1996,IRN,3.0,1.0,,,3,,
402,1996,ISR,1.0,1.0,,,1,,
403,1996,ITA,22.0,0.6285714285714286,13.0,0.37142857142857144,35,0.0,0.0
404,1996,JAM,2.0,0.3333333333333333,4.0,0.6666666666666666,6,0.0,0.0
405,1996,JPN,7.0,0.5,7.0,0.5,14,0.0,0.0
406,1996,KAZ,11.0,1.0,,,11,,
407,1996,KEN,7.0,0.875,1.0,0.125,8,0.0,0.0
408,1996,KOR,14.0,0.5185185185185185,11.0,0.4074074074074074,27,2.0,0.07407407407407407
409,1996,LTU,1.0,1.0,,,1,,
410,1996,LVA,1.0,1.0,,,1,,
411,1996,MDA,2.0,1.0,,,2,,
412,1996,MEX,1.0,1.0,,,1,,
413,1996,MNG,1.0,1.0,,,1,,
414,1996,MOZ,,,1.0,1.0,1,,
415,1996,MUS,2.0,1.0,,,2,,
416,1996,MYS,2.0,1.0,,,2,,
417,1996,NAM,2.0,1.0,,,2,,
418,1996,NGA,2.0,0.3333333333333333,4.0,0.6666666666666666,6,0.0,0.0
419,1996,NLD,7.0,0.3684210526315789,9.0,0.47368421052631576,19,3.0,0.15789473684210525
420,1996,NOR,4.0,0.5714285714285714,2.0,0.2857142857142857,7,1.0,0.14285714285714285
421,1996,NZL,2.0,0.3333333333333333,1.0,0.16666666666666666,6,3.0,0.5
422,1996,PHL,1.0,1.0,,,1,,
423,1996,POL,13.0,0.7647058823529411,4.0,0.23529411764705882,17,0.0,0.0
424,1996,PRI,1.0,1.0,,,1,,
425,1996,PRK,4.0,0.8,1.0,0.2,5,0.0,0.0
426,1996,PRT,1.0,0.5,1.0,0.5,2,0.0,0.0
427,1996,ROU,7.0,0.35,13.0,0.65,20,0.0,0.0
428,1996,RUS,44.0,0.6984126984126984,18.0,0.2857142857142857,63,1.0,0.015873015873015872
429,1996,SRB,2.0,0.5,2.0,0.5,4,0.0,0.0
430,1996,SVK,3.0,1.0,,,3,,
431,1996,SVN,1.0,0.5,1.0,0.5,2,0.0,0.0
432,1996,SWE,4.0,0.5,3.0,0.375,8,1.0,0.125
433,1996,SYR,,,1.0,1.0,1,,
434,1996,THA,2.0,1.0,,,2,,
435,1996,TON,1.0,1.0,,,1,,
436,1996,TTO,2.0,1.0,,,2,,
437,1996,TUN,1.0,1.0,,,1,,
438,1996,TUR,6.0,1.0,,,6,,
439,1996,TWN,,,1.0,1.0,1,,
440,1996,UGA,1.0,1.0,,,1,,
441,1996,UKR,13.0,0.5652173913043478,10.0,0.43478260869565216,23,0.0,0.0
442,1996,USA,58.0,0.5742574257425742,38.0,0.37623762376237624,101,5.0,0.04950495049504951
443,1996,UZB,2.0,1.0,,,2,,
444,1996,ZAF,2.0,0.4,3.0,0.6,5,0.0,0.0
445,1996,ZMB,1.0,1.0,,,1,,
446,2000,ARG,2.0,0.5,2.0,0.5,4,0.0,0.0
447,2000,ARM,1.0,1.0,,,1,,
448,2000,AUS,32.0,0.5517241379310345,22.0,0.3793103448275862,58,4.0,0.06896551724137931
449,2000,AUT,1.0,0.3333333333333333,1.0,0.3333333333333333,3,1.0,0.3333333333333333
450,2000,AZE,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
451,2000,BEL,2.0,0.4,3.0,0.6,5,0.0,0.0
452,2000,BGR,10.0,0.7692307692307693,3.0,0.23076923076923078,13,0.0,0.0
453,2000,BHS,1.0,0.3333333333333333,2.0,0.6666666666666666,3,0.0,0.0
454,2000,BLR,9.0,0.5294117647058824,8.0,0.47058823529411764,17,0.0,0.0
455,2000,BRA,5.0,0.4166666666666667,4.0,0.3333333333333333,12,3.0,0.25
456,2000,BRB,1.0,1.0,,,1,,
457,2000,CAN,7.0,0.5,7.0,0.5,14,0.0,0.0
458,2000,CHE,3.0,0.3333333333333333,5.0,0.5555555555555556,9,1.0,0.1111111111111111
459,2000,CHL,1.0,1.0,,,1,,
460,2000,CHN,23.0,0.39655172413793105,34.0,0.5862068965517241,58,1.0,0.017241379310344827
461,2000,CMR,1.0,1.0,,,1,,
462,2000,COL,,,1.0,1.0,1,,
463,2000,CRI,,,2.0,1.0,2,,
464,2000,CUB,22.0,0.7586206896551724,7.0,0.2413793103448276,29,0.0,0.0
465,2000,CZE,7.0,0.875,1.0,0.125,8,0.0,0.0
466,2000,DEU,32.0,0.5714285714285714,18.0,0.32142857142857145,56,6.0,0.10714285714285714
467,2000,DNK,3.0,0.5,2.0,0.3333333333333333,6,1.0,0.16666666666666666
468,2000,DQ,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
469,2000,DZA,4.0,0.8,1.0,0.2,5,0.0,0.0
470,2000,ESP,7.0,0.6363636363636364,4.0,0.36363636363636365,11,0.0,0.0
471,2000,EST,3.0,1.0,,,3,,
472,2000,ETH,5.0,0.625,3.0,0.375,8,0.0,0.0
473,2000,FIN,3.0,0.75,,,4,,
474,2000,FRA,26.0,0.6842105263157895,12.0,0.3157894736842105,38,0.0,0.0
475,2000,GBR,14.0,0.5,9.0,0.32142857142857145,28,5.0,0.17857142857142858
476,2000,GEO,6.0,1.0,,,6,,
477,2000,GRC,8.0,0.6153846153846154,5.0,0.38461538461538464,13,0.0,0.0
478,2000,HRV,2.0,1.0,,,2,,
479,2000,HUN,10.0,0.5882352941176471,7.0,0.4117647058823529,17,0.0,0.0
480,2000,IDN,2.0,0.3333333333333333,3.0,0.5,6,1.0,0.16666666666666666
481,2000,IND,,,1.0,1.0,1,,
482,2000,IRL,,,1.0,1.0,1,,
483,2000,IRN,4.0,1.0,,,4,,
484,2000,ISL,,,1.0,1.0,1,,
485,2000,ISR,1.0,1.0,,,1,,
486,2000,ITA,23.0,0.6764705882352942,11.0,0.3235294117647059,34,0.0,0.0
487,2000,JAM,2.0,0.2222222222222222,7.0,0.7777777777777778,9,0.0,0.0
488,2000,JPN,5.0,0.2777777777777778,13.0,0.7222222222222222,18,0.0,0.0
489,2000,KAZ,6.0,0.8571428571428571,1.0,0.14285714285714285,7,0.0,0.0
490,2000,KEN,6.0,0.8571428571428571,1.0,0.14285714285714285,7,0.0,0.0
491,2000,KGZ,1.0,1.0,,,1,,
492,2000,KOR,17.0,0.6071428571428571,11.0,0.39285714285714285,28,0.0,0.0
493,2000,KWT,1.0,1.0,,,1,,
494,2000,LKA,,,1.0,1.0,1,,
495,2000,LTU,2.0,0.4,3.0,0.6,5,0.0,0.0
496,2000,LVA,3.0,1.0,,,3,,
497,2000,MDA,2.0,1.0,,,2,,
498,2000,MEX,5.0,0.8333333333333334,1.0,0.16666666666666666,6,0.0,0.0
499,2000,MKD,1.0,1.0,,,1,,
500,2000,MOZ,,,1.0,1.0,1,,
501,2000,MUS,4.0,0.8,1.0,0.2,5,0.0,0.0
502,2000,NGA,1.0,0.3333333333333333,2.0,0.6666666666666666,3,0.0,0.0
503,2000,NLD,8.0,0.32,13.0,0.52,25,4.0,0.16
504,2000,NOR,4.0,0.4,5.0,0.5,10,1.0,0.1
505,2000,NZL,2.0,0.5,1.0,0.25,4,1.0,0.25
506,2000,POL,9.0,0.6428571428571429,5.0,0.35714285714285715,14,0.0,0.0
507,2000,PRK,2.0,0.5,2.0,0.5,4,0.0,0.0
508,2000,PRT,1.0,0.5,1.0,0.5,2,0.0,0.0
509,2000,QAT,1.0,1.0,,,1,,
510,2000,ROU,7.0,0.2692307692307692,19.0,0.7307692307692307,26,0.0,0.0
511,2000,RUS,53.0,0.5955056179775281,36.0,0.4044943820224719,89,0.0,0.0
512,2000,SAU,1.0,0.5,,,2,,
513,2000,SRB,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
514,2000,SVK,3.0,0.6,2.0,0.4,5,0.0,0.0
515,2000,SVN,2.0,1.0,,,2,,
516,2000,SWE,7.0,0.5833333333333334,5.0,0.4166666666666667,12,0.0,0.0
517,2000,THA,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
