Country Code,Male,Female,Total,Year
KWT,25,0,25,1988
LAO,2,1,3,1988
LBN,19,2,21,1988
LBR,7,1,8,1988
LBY,6,0,6,1988
LIE,9,3,12,1988
LKA,4,2,6,1988
LSO,6,0,6,1988
LUX,5,3,8,1988
MAR,24,3,27,1988
MCO,8,1,9,1988
MDV,7,0,7,1988
MEX,66,17,83,1988
MLI,5,1,6,1988
MLT,5,1,6,1988
MMR,0,2,2,1988
MNG,24,4,28,1988
MOZ,6,2,8,1988
MRT,6,0,6,1988
MUS,6,2,8,1988
MWI,16,0,16,1988
MYS,5,4,9,1988
NER,6,0,6,1988
NGA,61,8,69,1988
NLD,93,54,147,1988
NOR,44,25,69,1988
NPL,13,3,16,1988
NZL,67,16,83,1988
OMN,8,0,8,1988
PAK,30,0,30,1988
PAN,6,0,6,1988
PER,7,14,21,1988
PHL,26,5,31,1988
PNG,9,2,11,1988
POL,111,32,143,1988
PRI,44,3,47,1988
PRT,55,10,65,1988
PRY,10,0,10,1988
QAT,10,0,10,1988
ROU,32,36,68,1988
RUS,319,162,481,1988
RWA,3,3,6,1988
SAU,9,0,9,1988
SDN,8,0,8,1988
SEN,22,1,23,1988
SGP,7,1,8,1988
SLB,4,0,4,1988
SLE,11,1,12,1988
SLV,5,1,6,1988
SMR,11,0,11,1988
SOM,5,0,5,1988
SUR,4,2,6,1988
SWE,148,37,185,1988
SWZ,11,0,11,1988
SYR,13,0,13,1988
TCD,20,5,25,1988
TGO,6,0,6,1988
THA,12,2,14,1988
TON,4,1,5,1988
TTO,4,2,6,1988
TUN,39,2,41,1988
TUR,36,5,41,1988
TWN,43,18,61,1988
UGA,20,4,24,1988
URY,14,1,15,1988
USA,332,195,527,1988
VCT,5,1,6,1988
VEN,15,2,17,1988
VGB,3,0,3,1988
VIR,19,3,22,1988
VNM,8,1,9,1988
VUT,3,1,4,1988
WSM,11,0,11,1988
YEM,13,0,13,1988
ZMB,29,0,29,1988
ZWE,23,6,29,1988
ABW,4,1,5,1992
AGO,25,3,28,1992
ALB,5,2,7,1992
AND,7,1,8,1992
ARE,13,0,13,1992
ARG,67,17,84,1992
ASM,3,0,3,1992
ATG,12,5,17,1992
AUS,187,92,279,1992
AUT,71,31,102,1992
BEL,43,25,68,1992
BEN,4,2,6,1992
BGD,5,1,6,1992
BGR,87,51,138,1992
BHS,12,2,14,1992
BIH,6,4,10,1992
BLZ,9,1,10,1992
BMU,14,6,20,1992
BOL,8,5,13,1992
BRA,132,50,182,1992
BRB,16,1,17,1992
BRN,10,0,10,1992
BTN,3,3,6,1992
BWA,6,0,6,1992
CAF,13,2,15,1992
CAN,179,116,295,1992
CHE,73,29,102,1992
CHL,9,3,12,1992
CHN,117,127,244,1992
CIV,8,5,13,1992
CMR,3,5,8,1992
COD,15,2,17,1992
COG,6,1,7,1992
COK,2,0,2,1992
COL,46,3,49,1992
CRI,11,5,16,1992
CUB,126,50,176,1992
CYM,10,0,10,1992
