,Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games
830,Argentina,ARG,3,1,0,4,2016,Rio de Janeiro,BRA,557.531,South,West,43590368.0,76.221,7691.760326333334
831,Azerbaijan,AZE,1,7,10,18,2016,Rio de Janeiro,BRA,37.867518957,North,East,9757812.0,72.493,4916.379435
832,Poland,POL,2,3,6,11,2016,Rio de Janeiro,BRA,472.63,North,East,37970087.0,77.85121951,4703.426059553332
833,Brazil,BRA,7,6,6,19,2016,Rio de Janeiro,BRA,1795.7,South,West,206163056.0,75.23,6524.317218993334
835,Burundi,BDI,0,1,0,1,2016,Rio de Janeiro,BRA,2.959641047,South,East,10488002.0,60.528,5532.1053902
836,Algeria,DZA,0,2,0,2,2016,Rio de Janeiro,BRA,160.034,North,East,40551398.0,76.298,4616.55255802
837,Portugal,PRT,0,0,1,1,2016,Rio de Janeiro,BRA,206.286,North,West,10325452.0,81.12439024,4772.601500306666
838,Bulgaria,BGR,0,1,2,3,2016,Rio de Janeiro,BRA,53.806894796,North,East,7127822.0,74.81219512,4584.094277499999
839,United Kingdom,GBR,27,23,17,67,2016,Rio de Janeiro,BRA,2693.25,North,West,65611593.0,81.15609756,4727.1456612
840,Cuba,CUB,5,2,4,11,2016,Rio de Janeiro,BRA,91.37,North,West,11335108.0,78.607,6467.743547433332
841,Puerto Rico,PRI,1,0,0,1,2016,Rio de Janeiro,BRA,104.337,North,West,3406672.0,79.49497561,6087.802239133333
842,Fiji,FJI,1,0,0,1,2016,Rio de Janeiro,BRA,4.93020423,South,East,872406.0,67.175,9580.569488933334
843,Uzbekistan,UZB,4,2,7,13,2016,Rio de Janeiro,BRA,81.779012351,North,East,31847900.0,71.171,5259.327183133332
845,Israel,ISR,0,0,2,2,2016,Rio de Janeiro,BRA,318.617,North,West,8546000.0,82.40731707,5276.838422866666
846,Estonia,EST,0,0,1,1,2016,Rio de Janeiro,BRA,24.259552889,North,East,1315790.0,77.64146341,4908.7880147999995
847,Italy,ITA,8,12,8,28,2016,Rio de Janeiro,BRA,1875.8,North,East,60627498.0,83.24390244,4550.87002624
848,Ivory Coast,CIV,1,0,1,2,2016,Rio de Janeiro,BRA,47.96423456,North,West,23822726.0,56.567,5273.257207000001
849,Canada,CAN,4,3,15,22,2016,Rio de Janeiro,BRA,1527.99,North,West,36109487.0,81.9,6264.481855317333
851,Niger,NER,0,1,0,1,2016,Rio de Janeiro,BRA,10.35500677,North,East,20788789.0,61.137,5043.1629062
852,Belgium,BEL,2,2,2,6,2016,Rio de Janeiro,BRA,475.74,North,East,11331422.0,81.43902439,4675.567093086667
853,Russia,RUS,19,17,20,56,2016,Rio de Janeiro,BRA,1276.79,North,East,144342397.0,71.65121951,4889.668522333333
854,Austria,AUT,0,0,1,1,2016,Rio de Janeiro,BRA,395.569,North,East,8736668.0,81.64146341,4604.9858421
855,Belarus,BLR,1,4,4,9,2016,Rio de Janeiro,BRA,47.722657821,North,East,9501534.0,73.82682927,4770.616006033334
856,Vietnam,VNM,1,1,0,2,2016,Rio de Janeiro,BRA,205.276,North,East,93640435.0,75.172,6049.7034018
857,Romania,ROU,1,1,2,4,2016,Rio de Janeiro,BRA,188.129,North,East,19702267.0,75.2097561,4620.2260788466665
858,United States,USA,46,37,38,121,2016,Rio de Janeiro,BRA,18745.1,North,West,323071755.0,78.53902439,6262.408512226667
859,Bahrain,BHR,1,1,0,2,2016,Rio de Janeiro,BRA,32.234973404,North,East,1425793.0,76.899,5004.862516933334
860,New Zealand,NZL,4,9,5,18,2016,Rio de Janeiro,BRA,188.943,South,East,4714100.0,81.61243902,10162.121673733332
861,Bahamas,BHS,1,0,1,2,2016,Rio de Janeiro,BRA,11.9285,North,West,377923.0,73.329,6296.32602934
862,Philippines,PHL,0,1,0,1,2016,Rio de Janeiro,BRA,318.627,North,East,103663812.0,70.802,6570.342239333335
863,Armenia,ARM,1,3,0,4,2016,Rio de Janeiro,BRA,10.54613516,North,East,2936147.0,74.64,4833.087700466667
864,Ukraine,UKR,2,5,4,11,2016,Rio de Janeiro,BRA,93.355993629,North,East,45004673.0,71.47634146,4731.877346073334
