,Country,Gold,Silver,Bronze,Total,Year,Life Expectancy at Birth,Population,GDP (Billions),Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
238,Sweden,2,11,6,19,1984,77.0,8336595.0,531.0,North,East,6835.886355,6965.4458939999995,840.4798442,5197.250774,1086.1429460000002,7640.034601,6112.028674,1503.346409,5861.369457,9701.36456,1520.955875,5528.906607,1125.672413,6577.588157,6835.886355
239,Germany,17,19,23,59,1984,74.3,77858682.0,3861.0,North,East,6996.0687849999995,6545.682422999999,301.17456519999996,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867000001,6034.938596,6996.0687849999995
240,Ireland,0,1,0,1,1984,71.6857142857143,3529000.0,399.0,North,West,8052.048537000001,5591.3584630000005,1029.328577,3827.483511,2380.1236949999998,6261.276638,7325.311381999999,933.5597391000001,4477.958742,10484.38373,1943.4083030000002,6746.474883,356.68401439999997,5627.79411,8052.048537000001
242,Norway,0,1,2,3,1984,76.4,4140098.0,406.0,North,East,7244.041584999999,6597.650799,789.7038605,4795.701101,1495.737142,7243.423025,6519.505523,1332.1008980000001,5475.721879,10030.82783,1674.107286,5936.572968,804.9982622,6398.772343,7244.041584999999
243,Belgium,1,1,2,4,1984,74.5,9855372.0,533.0,North,East,7465.484676000001,6040.287639,434.360945,4369.683402000001,1841.269434,6781.550401,6738.867833,639.0615885,4973.865723,9915.550018,1378.649126,6161.241147,239.87647180000005,5688.273316,7465.484676000001
246,France,5,7,16,28,1984,75.3,55026074.0,2716.0,North,East,7556.722473000001,5888.888745,512.7500361000001,4251.2845259999995,1978.1957579999998,6651.180372999999,6830.559026999999,490.59273449999995,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473000001
249,Italy,14,6,12,32,1984,75.0,56576719.0,2005.0,North,East,6965.601489,6274.19585,457.0470028,4804.9314030000005,1671.3395990000001,7145.651673,6242.692758,552.6489257999999,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489
250,Australia,4,8,12,24,1984,75.8,15579391.0,1397.0,South,East,4913.860856,14055.774080000001,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.026119999999,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856
251,Mexico,2,3,1,6,1984,69.1,74359027.0,1269.0,North,West,13085.252,0.0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.988130000002,6810.8918650000005,11838.94405,5845.682904,4215.212132,13085.252
254,Finland,4,2,6,12,1984,74.8,4881806.0,269.0,North,East,6482.014653,7342.902147,1107.2607699999999,5585.00046,746.7650967000001,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.6725609999999,6834.621887,6482.014653
261,Colombia,0,0,1,1,1988,67.0,32767110.0,323.0,North,West,11864.03068,1711.573173,5564.846725,2841.333395,7028.4927769999995,3168.141186,11181.17542,4881.775916,2107.092876,12575.93558,5794.551013,10665.316920000001,5179.650627,2523.667877,11864.03068
262,New Zealand,3,2,8,13,1988,74.8,3343680.0,209.0,South,East,5633.175948,15503.5678,10817.74758,14901.591980000001,10022.90373,16800.398240000002,6014.854576,10995.367040000001,15046.355969999999,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948
264,Netherlands,2,2,5,9,1988,77.1,14760092.0,907.0,North,East,7464.868875,6100.454387,476.857991,4398.587044,1805.1512579999999,6820.142453,6738.124602,759.0711687,5020.216004,9971.222179999999,1445.327934,6159.095349,257.7032749,5802.288098,7464.868875
267,Turkey,1,1,0,2,1988,65.2,53268000.0,761.0,North,East,5854.362249,7323.680995999999,1288.161151,5916.970404,1126.75407,8241.393981000001,5132.585459000001,1662.950453,6396.995306,8225.602013,514.4316727,4567.836208,1956.5563379999999,5972.752883,5854.362249
268,France,6,4,6,16,1988,76.6,56117974.0,2716.0,North,East,7556.722473000001,5888.888745,512.7500361000001,4251.2845259999995,1978.1957579999998,6651.180372999999,6830.559026999999,490.59273449999995,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473000001
